iter	Passed	Remaining
0	1	148
1	1	90
2	2	83
3	3	88
4	3	75
5	4	65
6	4	57
7	4	52
8	4	47
9	4	44
10	5	40
11	5	37
12	5	35
13	5	33
14	5	31
15	5	30
16	5	28
17	6	27
18	6	26
19	6	25
20	6	25
21	7	25
22	7	24
23	7	23
24	7	22
25	7	22
26	8	21
27	8	21
28	8	20
29	8	20
30	8	19
31	9	19
32	9	18
33	9	18
34	9	17
35	9	17
36	9	16
37	10	16
38	10	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	11	12
48	13	13
49	13	13
50	13	13
51	13	12
52	13	12
53	14	12
54	14	11
55	14	11
56	14	11
57	14	10
58	15	10
59	15	10
60	15	9
61	15	9
62	15	9
63	16	9
64	16	8
65	16	8
66	16	8
67	16	7
68	17	7
69	17	7
70	17	7
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	18	5
78	18	4
79	18	4
80	18	4
81	19	4
82	19	3
83	19	3
84	19	3
85	19	3
86	20	2
87	20	2
88	20	2
89	20	2
90	20	2
91	20	1
92	20	1
93	21	1
94	21	1
95	21	0
96	21	0
97	21	0
98	21	0
99	22	0
