국가,연도,자동차_생산량
세계,2023,94240360.0
아시아,2023,2272788.3752740202
대한민국,2023,4243597.0
아제르바이잔,2023,4537.0
중국,2023,30160966.0
인도,2023,5847957.0
인도네시아,2023,1395717.0
이란,2023,1050299.0
일본,2023,8998538.0
카자흐스탄,2023,146989.0
말레이시아,2023,774600.0
미얀마,2023,1475.0
파키스탄,2023,87508.0
필리핀,2023,110350.0
대만,2023,269425.0
태국,2023,1834986.0
튀르키예,2023,1468393.0
우즈베키스탄,2023,425876.0
베트남,2023,347400.0
북아메리카,2023,2090177.956591661
캐나다,2023,1552940.0
멕시코,2023,3979941.0
미국,2023,10611580.0
남아메리카,2023,2130102.9841638124
아르헨티나,2023,625929.0
브라질,2023,2339354.0
칠레,2023,9100.154711817357
콜롬비아,2023,43897.0
에콰도르,2023,29604.216747325056
베네수엘라,2023,60877.96196649496
유럽,2023,2303911.6116635725
오스트리아,2023,114191.0
벨라루스,2023,22122.91626045368
벨기에,2023,332103.0
체코,2023,1404501.0
핀란드,2023,30191.0
프랑스,2023,1423187.0
독일,2023,4270792.0
헝가리,2023,507225.0
이탈리아,2023,733662.0
네덜란드,2023,880085.0
폴란드,2023,612882.0
포르투갈,2023,318231.0
루마니아,2023,513050.0
러시아,2023,729864.0
슬로바키아,2023,1080000.0
슬로베니아,2023,60881.0
스페인,2023,2451221.0
스웨덴,2023,276750.0
우크라이나,2023,1993.0
영국,2023,998352.0
세르비아,2023,186.0
아프리카,2023,2449370.8315492105
알제리,2023,2456.0
보츠와나,2023,1696.8850801751548
이집트,2023,51460.82045948268
모로코,2023,535825.0
나이지리아,2023,5987.985366652698
남아프리카공화국,2023,633337.0
오세아니아,2023,2279028.283167462
오스트레일리아,2023,7141.0
세계,2023,68265120.0
대한민국,2023,3908747.0
아제르바이잔,2023,3738.0
중국,2023,26123757.0
인도,2023,4779798.0
인도네시아,2023,1155615.0
이란,2023,963168.0
일본,2023,7767058.0
카자흐스탄,2023,134054.0
말레이시아,2023,724891.0
미얀마,2023,1152.0
파키스탄,2023,61392.0
필리핀,2023,49852.0
대만,2023,207223.0
태국,2023,637164.0
튀르키예,2023,952667.0
우즈베키스탄,2023,421414.0
베트남,2023,272600.0
캐나다,2023,376588.0
멕시코,2023,875963.0
미국,2023,1745717.0
아르헨티나,2023,304345.0
브라질,2023,1782079.0
오스트리아,2023,102291.0
벨기에,2023,285159.0
체코,2023,1397816.0
프랑스,2023,898345.0
독일,2023,4085600.0
이탈리아,2023,507398.0
네덜란드,2023,541953.0
폴란드,2023,299300.0
포르투갈,2023,243201.0
러시아,2023,526439.0
스페인,2023,1907050.0
영국,2023,896409.0
세르비아,2023,18216.76447053794
알제리,2023,2260.0
모로코,2023,471950.0
남아프리카공화국,2023,336980.0
오스트레일리아,2023,177000.50902374365
세계,2023,25975240.0
대한민국,2023,334850.0
아제르바이잔,2023,799.0
중국,2023,4037209.0
인도,2023,1068159.0
인도네시아,2023,240102.0
이란,2023,87131.0
일본,2023,1231480.0
카자흐스탄,2023,12935.0
말레이시아,2023,49709.0
미얀마,2023,323.0
파키스탄,2023,26116.0
필리핀,2023,60498.0
대만,2023,62202.0
태국,2023,1197822.0
튀르키예,2023,515726.0
우즈베키스탄,2023,4462.0
베트남,2023,74800.0
캐나다,2023,1176352.0
멕시코,2023,3103978.0
미국,2023,8865863.0
아르헨티나,2023,321584.0
브라질,2023,557275.0
콜롬비아,2023,65570.86880519897
오스트리아,2023,11900.0
벨기에,2023,46944.0
체코,2023,6685.0
핀란드,2023,25707.88298496874
프랑스,2023,524842.0
독일,2023,185192.0
헝가리,2023,212788.63313689176
이탈리아,2023,226264.0
네덜란드,2023,338132.0
폴란드,2023,313582.0
포르투갈,2023,75030.0
루마니아,2023,172647.97047204038
러시아,2023,203425.0
슬로바키아,2023,433563.87628558045
슬로베니아,2023,118690.97200975752
스페인,2023,544171.0
스웨덴,2023,194486.30224423727
우크라이나,2023,60066.58377431116
영국,2023,101943.0
알제리,2023,196.0
모로코,2023,63875.0
남아프리카공화국,2023,296357.0
세계,2022,85437172.0
아시아,2022,2272788.3752740202
대한민국,2022,3757049.0
아제르바이잔,2022,2473.0
중국,2022,27020615.0
인도,2022,5457237.0
인도네시아,2022,1470146.0
이란,2022,1064216.0
일본,2022,7835482.0
카자흐스탄,2022,112540.0
말레이시아,2022,701172.0
미얀마,2022,3175.0
파키스탄,2022,236659.0
필리핀,2022,92223.0
대만,2022,261263.0
태국,2022,1882385.0
튀르키예,2022,1352648.0
우즈베키스탄,2022,333569.0
베트남,2022,232410.0
북아메리카,2022,2090177.956591661
캐나다,2022,1233360.0
멕시코,2022,3478373.0
미국,2022,10103223.0
남아메리카,2022,2130102.9841638124
아르헨티나,2022,561993.0
브라질,2022,2380161.0
칠레,2022,9100.154711817357
콜롬비아,2022,81185.0
에콰도르,2022,29604.216747325056
베네수엘라,2022,60877.96196649496
유럽,2022,2303911.6116635725
오스트리아,2022,119016.0
벨라루스,2022,22122.91626045368
벨기에,2022,276554.0
체코,2022,1224456.0
핀란드,2022,73044.0
프랑스,2022,1424073.0
독일,2022,3890620.0
헝가리,2022,444800.0
이탈리아,2022,796394.0
네덜란드,2022,170900.0
폴란드,2022,483840.0
포르투갈,2022,322404.0
루마니아,2022,509465.0
러시아,2022,607812.0
슬로바키아,2022,963536.0
