시도,지역구분,보조금/승용(만원),보조금/초소형(만원)
서울,서울특별시,640 ,225 
부산,부산광역시,860 ,330 
대구,대구광역시,830 ,320 
인천,인천광역시,810 ,280 
광주,광주광역시,910 ,320 
대전,대전광역시,830 ,285 
울산,울산광역시,870 ,300 
세종,세종특별자치시,780 ,270 
경기,수원시,830 ,350 
경기,성남시,880 ,400 
경기,의정부시,820 ,326 
경기,안양시,830 ,294 
경기,부천시,830 ,286 
경기,광명시,980 ,600 
경기,평택시,880 ,303 
경기,동두천시,830 ,294 
경기,안산시,880 ,313 
경기,고양시,830 ,300 
경기,과천시,780 ,320 
경기,구리시,880 ,313 
경기,남양주시,830 ,200 
경기,오산시,880 ,350 
경기,시흥시,830 ,356 
경기,군포시,880 ,303 
경기,의왕시,880 ,303 
경기,하남시,830 ,200 
경기,용인시,830 ,320 
경기,파주시,1064 ,367 
경기,이천시,880 ,400 
경기,안성시,980 ,350 
경기,김포시,820 ,282 
경기,화성시,830 ,300 
경기,광주시,830 ,286 
경기,양주시,820 ,200 
경기,포천시,830 ,286 
경기,여주시,980 ,350 
경기,연천군,930 ,200 
경기,가평군,980 ,337 
경기,양평군,980 ,337 
강원,춘천시,868 ,387 
강원,원주시,868 ,387 
강원,강릉시,868 ,387 
강원,동해시,868 ,387 
강원,태백시,868 ,387 
강원,속초시,868 ,387 
강원,삼척시,868 ,387 
강원,홍천군,868 ,387 
강원,횡성군,868 ,387 
강원,영월군,868 ,387 
강원,평창군,868 ,387 
강원,정선군,868 ,387 
강원,철원군,868 ,387 
강원,화천군,868 ,387 
강원,양구군,868 ,387 
강원,인제군,868 ,387 
강원,고성군,868 ,387 
강원,양양군,868 ,387 
충북,청주시,1160 ,450 
충북,충주시,1160 ,450 
충북,제천시,1160 ,450 
충북,보은군,1160 ,450 
충북,옥천군,1160 ,450 
충북,증평군,1160 ,450 
충북,영동군,1160 ,450 
충북,진천군,1160 ,450 
충북,괴산군,1160 ,450 
충북,음성군,1160 ,450 
충북,단양군,1230 ,480 
충남,천안시,1280 ,550 
충남,공주시,1280 ,550 
충남,보령시,1280 ,550 
충남,아산시,1280 ,550 
충남,서산시,1280 ,550 
충남,논산시,1280 ,550 
충남,계룡시,1280 ,550 
충남,당진시,1280 ,550 
충남,금산군,1280 ,500 
충남,부여군,1280 ,550 
충남,서천군,1280 ,550 
충남,청양군,1280 ,550 
충남,홍성군,1280 ,550 
충남,예산군,1280 ,550 
충남,태안군,1280 ,550 
전북,전주시,1210 ,360 
전북,군산시,1210 ,360 
전북,익산시,1210 ,0 
전북,정읍시,1210 ,360 
전북,남원시,1210 ,200 
전북,김제시,1210 ,360 
전북,완주군,1210 ,360 
전북,진안군,1210 ,360 
전북,무주군,1210 ,360 
전북,장수군,1210 ,360 
전북,임실군,1210 ,360 
전북,순창군,1210 ,360 
전북,고창군,1210 ,360 
전북,부안군,1210 ,360 
전남,목포시,1080 ,417 
전남,여수시,1150 ,408 
전남,순천시,1160 ,400 
전남,나주시,1160 ,400 
전남,광양시,1080 ,445 
전남,담양군,1330 ,420 
전남,곡성군,1230 ,285 
전남,구례군,1330 ,615 
전남,고흥군,1330 ,485 
전남,보성군,1430 ,493 
전남,화순군,1280 ,475 
전남,장흥군,1330 ,458 
전남,강진군,1330 ,458 
전남,해남군,1310 ,485 
전남,영암군,1280 ,475 
전남,무안군,1230 ,420 
전남,함평군,1230 ,420 
전남,영광군,1330 ,665 
전남,장성군,1230 ,420 
전남,완도군,1030 ,369 
전남,진도군,1230 ,480 
전남,신안군,1230 ,420 
경북,포항시,1180 ,406 
경북,경주시,1180 ,406 
경북,김천시,1180 ,406 
경북,안동시,1180 ,406 
경북,구미시,1180 ,406 
경북,영주시,1180 ,406 
경북,영천시,1180 ,406 
경북,상주시,1180 ,406 
경북,문경시,1180 ,406 
경북,경산시,1180 ,406 
경북,의성군,1180 ,406 
경북,청송군,1180 ,406 
경북,영양군,1180 ,406 
경북,영덕군,1180 ,406 
경북,청도군,1180 ,200 
경북,고령군,1180 ,406 
경북,성주군,1180 ,406 
경북,칠곡군,1180 ,406 
경북,예천군,1180 ,406 
경북,봉화군,1180 ,406 
경북,울진군,1180 ,406 
경북,울릉군,1680 ,579 
경남,창원시,1100 ,400 
경남,진주시,1100 ,400 
경남,통영시,1340 ,470 
경남,사천시,1100 ,400 
경남,김해시,1100 ,400 
경남,밀양시,1100 ,400 
경남,거제시,1100 ,400 
경남,양산시,1100 ,400 
경남,의령군,1100 ,400 
경남,함안군,1100 ,400 
경남,창녕군,1230 ,450 
경남,고성군,1100 ,0 
경남,남해군,1100 ,400 
경남,하동군,1100 ,400 
경남,산청군,1100 ,400 
경남,함양군,1100 ,400 
경남,거창군,1340 ,470 
경남,합천군,1490 ,300 
제주,제주특별자치도,980 ,600 
공단,한국환경공단,580 ,200 
