모델명,트림,차량구분,차량형태,연료구분,전장(mm),전폭(mm),전고(mm),축간거리(mm),윤거 전(mm),윤거 후(mm),엔진형식,배기량(cc),공차중량(kg),타이어(inch),복합연비(km/L),CO₂배출량(g/km),기본가격(만원),선택옵션,프리미엄 초이스,파킹 어시스트,현대 스마트센스 I,스마트스트림 가솔린 3.5 패키지,파노라마 선루프,헤드업 디스플레이,플래티넘,BOSE 프리미엄 사운드 패키지,프리미엄 전자제어 서스펜션,2열 컴포트 패키지
그랜저,프리미엄,대형,세단,휘발유,5035,1880,1460,2895,"1628(18"")","1635(18"")",스마트스트림 G2.5,2497,1620,"18""",11.7,143,3768,현대 스마트센스 I,1290000,1430000,"840,000원",,,,,,,
그랜저,익스클루시브,대형,세단,휘발유,5035,1880,1460,2895,"1624(19"")","1631(19"")",스마트스트림 G2.5,2497,1635,"19""",11.4,148,4258,BOSE 프리미엄 사운드,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저,캘리그래피,대형,세단,휘발유,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G2.5,2497,1655,"20""",11.2,150,4721,캘리 전용 패키지,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저,블랙 익스테리어,대형,세단,휘발유,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G2.5,2497,1655,"20""",11.2,150,4721,블랙 전용 내장,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저,블랙 잉크,대형,세단,휘발유,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G2.5,2497,1655,"20""",11.2,150,5516,블랙 전용 패키지,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 LPG3.5,프리미엄,대형,세단,LPG,5035,1880,1460,2895,"1624(18"")","1631(18"")",스마트스트림 LPG 3.5,3470,1715,"18""",7.8,170,3916,현대 스마트센스 II,1290000,1430000,"840,000원",,,,,,,
그랜저 LPG3.5,익스클루시브,대형,세단,LPG,5035,1880,1460,2895,"1624(18"")","1631(18"")",스마트스트림 LPG 3.5,3470,1750,"20""",7.3,183,4406,BOSE 프리미엄 사운드,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 하이브리드,프리미엄,대형,세단,하이브리드,5035,1880,1460,2895,"1628(18"")","1635(18"")",스마트스트림 G1.6 터보 HEV,1598,1700,"18""",18,88,4434,현대 스마트센스 II,1290000,1430000,"840,000원",,,,,,,
그랜저 하이브리드,익스클루시브,대형,세단,하이브리드,5035,1880,1460,2895,"1624(19"")","1631(19"")",스마트스트림 G1.6 터보 HEV,1598,1715,"19""",16.7,96,4924,BOSE 프리미엄 사운드,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 하이브리드,캘리그래피,대형,세단,하이브리드,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G1.6 터보 HEV,1598,1735,"20""",15.7,103,5387,블랙 전용 내장,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 하이브리드,블랙 익스테리어,대형,세단,하이브리드,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G1.6 터보 HEV,1598,1735,"20""",15.7,103,5387,현대 디지털 키2 터치,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 하이브리드,블랙 잉크,대형,세단,하이브리드,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G1.6 터보 HEV,1598,1735,"20""",15.7,103,5387,블랙 전용 패키지,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
그랜저 하이브리드,블랙 잉크,대형,세단,하이브리드,5035,1880,1460,2895,"1624(20"")","1631(20"")",스마트스트림 G1.6 터보 HEV,1598,1735,"20""",15.7,103,5516,프리미엄 Bose 옵션,,,,2470000,"1,190,000","990,000","1,290,000","1,190,000","1,090,000","990,000"
