브랜드,모델명,모델구분,탑승인원,트림명,차량구분,연료구분,차량형태,전장,전폭,전고,배기량,공차중량,CO2배출량,연비,기본가격,img_url
현대,아이오닉6,Standard,5인승,E-Lite,중형,전기,세단,4855,1880,1495,0,1800,0,6,49450000,https://www.hyundai.com/contents/vr360/CE02/exterior/R2P/001.png
현대,아이오닉6,Standard,5인승,Exclusive,중형,전기,세단,4855,1880,1495,0,1800,0,6,52090000,https://www.hyundai.com/contents/vr360/CE02/exterior/XB9/001.png
현대,아이오닉6,Standard,5인승,Exclusive+,중형,전기,세단,4855,1880,1495,0,1800,0,6,53880000,https://www.hyundai.com/contents/vr360/CE02/exterior/W6H/001.png
현대,아이오닉6,LongRange,5인승,E-Lite,중형,전기,세단,4855,1880,1495,0,1930,0,6,53300000,https://www.hyundai.com/contents/vr360/CE02/exterior/T9M/001.png
현대,아이오닉6,LongRange,5인승,Exclusive,중형,전기,세단,4855,1880,1495,0,1950,0,5,56930000,https://www.hyundai.com/contents/vr360/CE02/exterior/W6H-4NB/001.png
현대,아이오닉6,LongRange,5인승,Exclusive+,중형,전기,세단,4855,1880,1495,0,2035,0,6,58720000,https://www.hyundai.com/contents/vr360/CE02/exterior/A2B-4NB/001.png
현대,아이오닉6,LongRange,5인승,Prestige,중형,전기,세단,4855,1880,1495,0,2055,0,5,62510000,https://www.hyundai.com/contents/vr360/CE02/exterior/A2B-4NB/001.png
현대,아이오닉9,기본,7인승,익스클루시브,중형,전기,SUV,5060,1980,1790,0,2505,0,4.3,70730000,https://www.hyundai.com/contents/vr360/ME01/exterior/E/R5P/001.png
현대,아이오닉9,기본,7인승,프레스티지,중형,전기,SUV,5060,1980,1790,0,2605,0,4.3,77050000,https://www.hyundai.com/contents/vr360/ME01/exterior/E/Y2G/001.png
현대,아이오닉9,기본,7인승,캘리그래피,중형,전기,SUV,5060,1980,1790,0,2625,0,4.3,82070000,https://www.hyundai.com/contents/vr360/ME01/exterior/E/NH5/001.png
현대,아이오닉9,기본,6인승,익스클루시브,중형,전기,SUV,5060,1980,1790,0,2510,0,4.3,72710000,https://www.hyundai.com/contents/vr360/ME01/exterior/B/Y2G/001.png
현대,아이오닉9,기본,6인승,프레스티지,중형,전기,SUV,5060,1980,1790,0,,0,4.3,78620000,https://www.hyundai.com/contents/vr360/ME01/exterior/B/XB9/001.png
현대,아이오닉9,기본,6인승,캘리그래피,중형,전기,SUV,5060,1980,1790,0,,0,4.3,83640000,https://www.hyundai.com/contents/vr360/ME01/exterior/B/A2B/001.png
현대,아이오닉5,Standard,5인승,E-Value+,중형,전기,세단,4715,1940,1585,0,2200,0,4,49510000,https://www.hyundai.com/contents/vr360/NE04/exterior/U3P/001.png
현대,아이오닉5,Standard,5인승,Exclusive,중형,전기,세단,4715,1940,1585,0,2200,0,4,52560000,https://www.hyundai.com/contents/vr360/NE04/exterior/M9U/001.png
현대,아이오닉5,LongRange,5인승,Exclusive,중형,전기,세단,4715,1940,1585,0,2200,0,4,56980000,https://www.hyundai.com/contents/vr360/NE04/exterior/SAW/001.png
현대,아이오닉5,LongRange,5인승,Prestige,중형,전기,세단,4715,1940,1585,0,2200,0,4,61990000,https://www.hyundai.com/contents/vr360/NE04/exterior/C5G/001.png
현대,아이오닉5,LongRange,5인승,NLine,중형,전기,세단,4715,1940,1585,0,2200,0,4,63150000,https://www.hyundai.com/contents/vr360/NE04/exterior/PE2/001.png
현대,아이오닉5,LongRange,5인승,E-Lite,중형,전기,세단,4715,1940,1585,0,2200,0,4,53300000,https://www.hyundai.com/contents/vr360/NE04/exterior/A2B/001.png
현대,스타리아,카고,3인승,Modern,대형,디젤,승합차,5255,1995,2000,2199,2005,156,12,28470000,https://www.hyundai.com/contents/vr360/US17/exterior/YAC/001.png
현대,스타리아,카고,5인승,Modern,대형,디젤,승합차,5255,1995,2000,2199,2080,161,12,29160000,https://www.hyundai.com/contents/vr360/US17/exterior/R2T/001.png
현대,스타리아,투어러,11인승,Modern,대형,디젤,승합차,5255,1995,1990,2199,2390,190,10,30510000,https://www.hyundai.com/contents/vr360/US17/exterior/PE2/001.png
현대,스타리아,투어러,9인승,Prestige,대형,하이브리드,승합차,5255,1995,1990,1598,2220,132,12,41100000,https://www.hyundai.com/contents/vr360/US17/exterior/A2B/060.png
현대,스타리아,투어러,11인승,Inspiration,대형,하이브리드,승합차,5255,1995,1990,1598,2315,130,13,44970000,https://www.hyundai.com/contents/vr360/US17/exterior/NFA/057.png
현대,스타리아,투어러,9인승,Limousine,대형,LPG,승합차,5255,1995,1990,3470,2190,197,7,59110000,https://www.hyundai.com/contents/vr360/US17/exterior/YAC/001.png
