국가별,2023,2023.1,2023.2,2022,2022.1,2022.2,2021,2021.1,2021.2,2020,2020.1,2020.2,2019,2019.1,2019.2,2018,2018.1,2018.2,2017,2017.1,2017.2,2016,2016.1,2016.2
세계,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차
아시아,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　아제르바이잔,4537,3738,799,2473,2049,424,2318,2079,239,2058,1949,109,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　중국,30160966,26123757,4037209,27020615,23836083,3184532,26121712,21444743,4676969,25225242,19994081,5231161,25720665,20958175,4762490,27809196,23529423,4279773,29015434,24806687,4208747,28118794,24420744,3698050
　　　인도,5847957,4779798,1068159,5457237,4439139,1018098,4399112,3631095,768017,3381819,2836534,545285,4515823,3623167,892656,5174401,4064722,1109679,4779849,3949338,830511,4488965,3677605,811360
　　　인도네시아,1395717,1155615,240102,1470146,1214250,255896,1121967,889756,232211,690176,551426,138750,1286848,1045666,241182,1343714,1055774,287940,1216615,982356,234259,1177389,968101,209288
　　　이란,1050299,963168,87131,1064216,997519,66697,894298,838251,56047,880997,826210,54787,762832,710778,52054,1095526,1027313,68213,1515396,1418550,96846,1282172,1188072,94100
　　　일본,8998538,7767058,1231480,7835482,6566318,1269164,7836908,6619245,1217663,8067943,6960411,1107532,9682055,8326456,1355599,9728528,8358220,1370308,9690674,8347836,1342838,9204490,7873886,1330604
　　　카자흐스탄,146989,134054,12935,112540,103345,9195,92417,80679,11738,74831,64790,10041,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　말레이시아,774600,724891,49709,701172,649087,52085,481651,446431,35220,485186,457755,27431,571632,390980,180652,564971,380472,184499,499639,459558,40081,545253,503691,41562
　　　미얀마,1475,1152,323,3175,2480,695,1957,1519,438,10753,8346,2407,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　파키스탄,87508,61392,26116,236659,190560,46099,238702,193991,44711,117375,95504,21871,186716,144794,41922,269792,203494,66298,250740,183886,66854,214650,157740,56910
