시도,지역,보조금/승용(만원),보조금/승합(만원)
서울,서울특별시,2950,35000
부산,부산광역시,3350,35000
대구,대구광역시,3250,35000
인천,인천광역시,3250,35000
광주,광주광역시,3250,26000
대전,대전광역시,3250,31800
울산,울산광역시,3400,35000
세종,세종특별자치시,3247,26000
경기,수원시,3250,26000
경기,성남시,3500,35000
경기,의정부시,3250,26000
경기,안양시,3250,26000
경기,부천시,3250,26000
경기,광명시,3250,26000
경기,평택시,3500,35000
경기,동두천시,0,0
경기,안산시,3250,35000
경기,고양시,3250,35000
경기,과천시,3250,26000
경기,구리시,3250,26000
경기,남양주시,3250,26000
경기,오산시,3250,26000
경기,시흥시,3250,26000
경기,군포시,3250,26000
경기,의왕시,3250,26000
경기,하남시,0,0
경기,용인시,3250,35000
경기,파주시,3250,35000
경기,이천시,3250,35000
경기,안성시,3500,35000
경기,김포시,3250,35000
경기,화성시,3500,26000
경기,광주시,3250,26000
경기,양주시,3250,35000
경기,포천시,3250,26000
경기,여주시,3250,26000
경기,양평군,3250,26000
강원,춘천시,3450,41000
강원,원주시,3450,41000
강원,강릉시,3450,26000
강원,동해시,3450,26000
강원,속초시,3450,26000
강원,삼척시,3450,41000
강원,홍천군,3450,26000
강원,횡성군,3450,26000
강원,평창군,3450,26000
강원,철원군,3450,26000
강원,화천군,3450,26000
강원,양구군,3450,26000
강원,고성군,0,0
강원,양양군,3450,26000
충북,청주시,3350,43800
충북,충주시,3350,35000
충북,제천시,3350,26000
충북,보은군,3350,35000
충북,증평군,0,0
충북,영동군,3350,26000
충북,진천군,3350,26000
충북,괴산군,3350,26000
충북,음성군,3350,35000
충북,단양군,3504,26000
충남,공주시,3250,35000
충남,보령시,3750,26000
충남,아산시,3250,35000
충남,서산시,3250,26000
충남,논산시,3250,26000
충남,계룡시,3250,26000
충남,당진시,3550,35000
충남,금산군,3250,26000
충남,부여군,3250,26000
충남,서천군,3250,26000
충남,청양군,3250,26000
충남,홍성군,3250,26000
충남,예산군,3250,26000
충남,태안군,3250,26000
전북,전주시,3450,38000
전북,군산시,3450,38000
전북,익산시,3450,39000
전북,김제시,3450,39000
전북,완주군,3450,38000
전북,무주군,0,0
전북,고창군,3450,26000
전북,부안군,3450,39000
전남,목포시,3500,26000
전남,여수시,3750,37000
전남,순천시,3450,37000
전남,나주시,3550,26000
전남,광양시,3450,37000
전남,담양군,3450,26000
전남,영암군,3500,26000
전남,함평군,3500,26000
전남,영광군,0,0
전남,장성군,3500,26000
전남,신안군,3500,26000
경북,포항시,3250,35000
경북,경주시,3250,35000
경북,김천시,3250,35000
경북,안동시,3250,26000
경북,구미시,3250,35000
경북,상주시,3250,26000
경북,경산시,3250,30000
경북,고령군,3250,26000
경북,성주군,3250,26000
경북,칠곡군,3250,30000
경북,울진군,3250,26000
경남,창원시,3310,26000
경남,진주시,3310,26000
경남,통영시,3310,30000
경남,사천시,3310,26000
경남,김해시,3310,30000
경남,밀양시,3310,35000
경남,거제시,3310,26000
경남,양산시,3310,26000
경남,남해군,3500,34300
제주,제주특별자치도,2250,35000
