공장명(국가),차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,Optima & K5,11094.0,13180.0,11514.0,9933.0,7197.0,9006.0,7170.0,9965.0,8192.0,9116.0,8410.0,7711.0,7459.0,7663.0,10101.0,8358.0,10467.0,12307.0,8100.0,10402.0,9070.0,6715.0,3846.0,1956.0,2392.0,6900.0,4426.0,6340.0,8805.0,5792.0,7141.0,11460.0,10090.0,9762.0,8667.0,9024.0,11626.0,7202.0,9268.0,8732.0,8203.0,7020.0,7597.0,7732.0,9415.0,8643.0,6801.0,6148.0,5926.0,6603.0,5256.0,1009.0,2437.0,3557.0,9633.0,8795.0,8783.0,9229.0,5464.0,5857.0,5858.0,7310.0,7962.0,7467.0,5914.0,7707.0,7476.0,6793.0,5202.0,5614.0,6970.0,5788.0,7223.0,5706.0,5494.0,6257.0,6136.0,5658.0,4207.0,6322.0,6030.0,4402.0,4237.0,2875.0,5701.0,6150.0,6635.0,5652.0,6396.0,5050.0,4771.0,6853.0,6150.0,6550.0,5900.0,3445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미국,New Santa Fe,5800.0,12140.0,10143.0,8092.0,11600.0,12927.0,6883.0,9602.0,8322.0,7182.0,6799.0,5570.0,5987.0,4281.0,6291.0,1893.0,10375.0,8611.0,6300.0,8408.0,6200.0,6275.0,5806.0,3548.0,3678.0,3542.0,3737.0,2567.0,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미국,Pegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2792.0,2218.0,2984.0,2618.0,1605.0,1391.0,3143.0,3772.0,3316.0,3897.0,2357.0,1832.0,2769.0,5509.0,6294.0,7953.0,7052.0,4399.0,4857.0,4626.0,4528.0,6231.0,7832.0,5874.0,6710.0,5164.0,6324.0,2594.0,4193.0,793.0,5808.0,3651.0,1558.0,959.0,1331.0,1013.0,1813.0,1595.0,1855.0,1688.0,2117.0,1838.0,1668.0,2141.0,1503.0,2566.0,2483.0,2753.0,1377.0,1939.0,3904.0,2763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미국,K5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,30.0,4.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,K2,13232.0,12677.0,9166.0,7840.0,11031.0,9511.0,8027.0,8994.0,13556.0,16882.0,20177.0,23037.0,3793.0,4340.0,1855.0,2171.0,1681.0,4202.0,3743.0,5967.0,9758.0,11726.0,14600.0,15594.0,11725.0,8720.0,8222.0,9818.0,8416.0,6705.0,1762.0,2529.0,4880.0,5799.0,6323.0,8387.0,5496.0,3004.0,3201.0,1419.0,1079.0,2243.0,1049.0,2007.0,1370.0,71.0,19.0,-254.0,671.0,0.0,80.0,89.0,19.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,Cerato,419.0,236.0,427.0,665.0,297.0,875.0,819.0,598.0,785.0,473.0,711.0,1486.0,143.0,390.0,763.0,631.0,836.0,936.0,325.0,422.0,817.0,648.0,871.0,950.0,684.0,646.0,507.0,400.0,1130.0,726.0,600.0,286.0,554.0,374.0,958.0,609.0,552.0,231.0,713.0,760.0,716.0,1092.0,63.0,300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,Soul,46.0,1.0,516.0,356.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,K4,2659.0,3589.0,3032.0,2054.0,1752.0,457.0,579.0,4900.0,3986.0,3633.0,2337.0,3665.0,1235.0,1506.0,619.0,524.0,1391.0,624.0,2875.0,1071.0,1953.0,2676.0,2393.0,2356.0,2548.0,2012.0,2194.0,2691.0,1502.0,1344.0,536.0,661.0,1088.0,950.0,2042.0,1770.0,1275.0,644.0,1460.0,531.0,502.0,640.0,113.0,23.0,55.0,1.0,3.0,-478.0,96.0,0.0,67.0,54.0,121.0,209.0,95.0,75.0,128.0,78.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,"KX3 (KC, SP2c)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,67.0,8.0,129.0,3.0,3.0,65.0,0.0,1259.0,6161.0,4686.0,22.0,4002.0,7629.0,4818.0,3543.0,4048.0,3065.0,3533.0,3631.0,3238.0,2445.0,2566.0,1624.0,1478.0,1546.0,846.0,912.0,1019.0,791.0,1952.0,3451.0,3278.0,2078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중국,Zhipao (NP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10577.0,7360.0,13989.0,8707.0,5680.0,2955.0,4868.0,4764.0,5035.0,8761.0,6832.0,6181.0,6513.0,5.0,2982.0,4083.0,8970.0,9001.0,6261.0,6229.0,7756.0,7167.0,6276.0,3507.0,4542.0,2029.0,1916.0,1543.0,2331.0,3499.0,2810.0,3097.0,1995.0,2248.0,2359.0,3382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
