계정항목,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
수입총액,31321901,29163323,33344423,32388783,33025444,33890231,33371802,35103611,33988443,35050112,37240858,38303957,37645403,36203282,42579492,37959391,39287764,40551012,38607157,40549772,41695884,37856562,42013512,43529066,45805322,41722154,44897838,43693963,44458729,45000164,44917044,44360778,41032928,48480618,46808199,44024694,45153389,36651437,41992349,45047164,43619667,40104812,43762245,42457250,38741473,41396517,40729215,43687430,42718100,36977247,41803860,37932611,34661974,35794860,38849185,35817929,39400190,39093795,39944763,44638246,44456822,42404636,49742555,50891152,47910522,50429027,53676256,51581093,51636341,53847824,57357549,61159671,60606721,53482054,63811102,60213185,63168380,60149906,65259838,66027733,61012837,59167185,58847655,59623062,59037259,55370498,59635920,51940137,54251194,53055480,48738114,51009758,50972525,53440582,51997805,53122854,54474175,48210988,52415190,54814253,53146033,49086044,53850545,54053264,52119854,54333812,50719115,54876760,50980009,48300091
네덜란드,526984,291699,228052,505041,267999,310767,323321,635854,190204,218512,364429,366626,396437,306390,504877,376187,492582,711981,500126,452367,831981,356316,561679,650662,892551,691326,658191,678504,571533,595100,340387,492435,716478,227185,538290,494966,353913,311688,373382,539823,369281,440086,420218,365115,174057,163405,259653,425194,225664,333994,814539,320887,909282,542841,457916,181526,524452,442502,681206,795184,826998,574030,1081051,818930,674480,718432,1225848,564691,572056,454455,552993,1099113,533368,619854,633744,428681,829229,983611,608101,610818,656758,430154,525365,1270776,528925,378822,741785,960546,972282,774782,487756,612087,801869,418656,457020,927417,288616,564400,692048,468368,539538,721330,264057,394462,1217287,519018,1067267,1440366,484345,747095
대만,1210150,1299109,1420373,1209229,1271021,1456092,1398263,1515044,1414092,1428872,1443325,1337629,1451174,1413594,1580644,1451341,1570045,1436600,1487199,1577832,1643946,1428411,1559263,1472938,1516679,1189030,1413262,1447552,1490223,1345607,1450009,1542037,1299625,1443226,1323202,1277922,1331338,1005369,1325310,1302324,1284695,1261269,1356088,1315184,1341141,1332577,1358674,1503714,1384239,1328060,1478779,1265527,1259314,1332354,1610887,1494593,1610958,1713655,1650615,1708030,1782007,1768674,1970970,1852259,1908779,1818777,2049202,2026278,1939973,1987232,2193905,2187757,2120717,1982899,2419488,2398831,2427229,2538659,2680136,2660237,2652550,2239636,1982602,2171610,1750162,1898312,2450546,1895947,2123176,1936737,2065090,2115728,1961989,2168182,2068737,1936033,2196900,2191432,2129274,2298421,2792061,2175189,2554719,2572950,2899249,2680260,2821011,2911012,2227286,2396046
독일,1638596,1381159,1490556,1683350,1679975,1690425,1416646,1758933,1533407,1532213,1624340,1487406,1354980,1353844,1833983,1514751,1612901,1781209,1663539,1692920,1694040,1621980,1833948,1790592,1931691,1508456,2029132,1774032,1829285,1852045,1712709,1554594,1351501,1831334,1833922,1645271,1616982,1213228,1643711,1619274,1613922,1501146,1951887,1827951,1562558,1828088,1601726,1956463,1349395,1530818,1994861,1854688,1725030,1714183,1565051,1412839,1782570,1805393,1995903,1950186,1577173,1436168,1929762,2061881,2023578,1850098,1908267,1709551,1877836,1840411,1624659,2156955,1642451,1823431,2235518,2271245,2031532,1816313,1836463,2066846,1630481,2113308,2006918,2140351,1960996,2219023,1962422,1932093,2108696,2529182,1623136,1724786,1710587,1931809,1999468,1908972,1517842,1732624,1815963,1949909,1976566,2054904,1974760,1838177,1893821,1943378,1626857,1976176,1388092,1658701
러시아,771797,398124,559716,609696,741373,688232,739099,762083,722840,834310,915173,898170,914805,949764,827736,896159,966309,979958,996142,941614,1214134,1101570,940447,1310891,1226946,1162169,1366952,1522219,1537786,1309118,1686157,1439563,1394096,1448533,1938803,1471708,1164148,1338198,1395510,1034949,1056367,1044752,1312236,1272998,998326,1461677,1248108,1239237,1265685,1225829,1295146,725113,721796,622940,810025,674787,749834,835235,808648,895156,1001030,879841,1125761,1560840,1294682,1310181,1183477,1537346,1602907,1524646,2312061,2023922,2016619,1708454,1656503,1682872,1068994,802197,852331,923885,946436,981854,1112094,1065124,792251,868371,915577,816895,806344,749080,851819,572535,627670,596107,613765,681573,531098,602597,557421,528178,619769,453789,502672,897327,589937,552215,503175,534555,502117,485402
말레이시아,629218,627263,686272,616288,579660,570001,610501,588035,575834,660842,623322,740537,601840,677411,732693,635774,711404,715026,661875,708513,719410,651139,958460,941171,914000,770157,889017,887755,804557,869205,794767,843580,691179,902026,927673,911769,895751,736182,785003,665067,733334,676814,711539,743106,761826,872728,756641,941948,969919,841727,767340,577542,591759,649030,691648,711193,739780,702518,708691,941417,715623,784989,837988,776237,923161,902933,890220,710923,924906,999565,845604,1144029,1563302,1208933,1325683,1168138,997825,966204,1220666,1255579,1764247,1320383,1196759,1261341,1368578,1404046,1373198,1027784,1388024,1407501,1150304,1108665,1130890,1286527,1247293,1344332,1367470,1116085,1061580,1027196,1015887,1135521,1049016,1256212,1039620,1215787,1376059,1321543,1346187,1383914
미국,3328091,3057982,3794193,3305402,3887886,3834102,3452905,3642084,3415793,3557050,3752768,4187673,3969132,3754033,4411901,4390391,4703319,4806054,4082845,4544311,4077686,3448257,4194796,4366640,4930570,4528135,5207431,4757057,4822091,4788171,4904394,4832945,4347494,5587854,4878622,5283548,5290688,4371194,5022184,5585755,5512696,4671519,5383261,5175083,4758785,4963127,5273129,5871143,5577076,5435012,5371871,5041816,4292824,4597451,4445079,4614340,4654363,4363458,4188104,4910784,5018162,5761028,6221033,6440357,6436130,6489351,6339477,6210232,5959730,5995841,6640496,5701577,7105625,5965125,6996572,6606658,7196286,6769779,6690429,7779216,6657837,6692906,6529866,6794422,6995423,6011957,6675931,5510740,6017116,5531066,5319602,5390722,5122090,6212986,6204912,6279486,6138690,5612425,5974872,6012384,6374600,5495891,7918423,6256968,5457728,5967398,5437975,5474042,5830591,5733114
브라질,361538,328753,267359,311213,340546,246711,259767,253496,247485,251899,287332,288624,286101,205843,294513,278043,229090,375579,242140,334503,372194,294671,388090,401571,427468,307313,254965,245445,303902,354754,350405,371403,280003,346729,348172,317500,444286,326197,333090,299847,276852,195794,324558,397522,338499,468308,465989,424654,346728,267654,400125,333475,421836,244834,308270,311261,379442,363590,506764,353388,486413,536480,476313,448989,511991,746178,777555,429071,378983,642143,565226,622374,634771,645044,750790,537975,489649,625415,824072,616648,778015,715126,711694,601038,691464,655940,660549,437377,687933,549849,460788,378265,637345,686141,383632,494994,680258,662164,450516,650669,654813,283156,627358,413218,636443,869201,551543,818658,682122,477789
사우디아라비아,909657,889922,932269,1283842,1355072,1270538,1576220,1406324,1460193,1513599,1599270,1544765,1421909,1676770,1641909,1615695,1895849,1581203,1504670,1664215,1703395,1305087,1599246,1980532,1986823,2330136,1636425,1866403,1970752,2697139,2153211,2385364,2128006,2712547,2574692,1894263,1771641,2053778,1490446,2092098,1955037,2048878,1878079,2259302,1511360,1570485,1682833,1526644,2018583,1745582,1593871,916152,740665,915062,1622490,1115023,1163346,1399663,1117735,1631449,1302924,1590237,1493344,1686216,1821417,1925312,1839191,2200441,2085924,2434351,2565113,3326878,3291498,2713941,3468901,3530835,3730847,3199895,3921857,4649287,3486158,3217906,3233247,3195896,2768103,2688095,3016325,2870403,2445653,2243517,2539245,2692435,2996731,2569486,2951579,2980977,2662200,2367782,2608307,2842864,3040377,2405525,2762350,2559808,2588557,2528307,2454926,2681202,2460780,2363627
스위스,155756,162327,197741,195107,212951,202687,193117,206203,196580,184496,234306,209083,186306,201238,225007,182520,247190,205985,281849,286851,229565,218785,230895,238502,253236,207334,282895,240871,271413,268272,281117,257776,232434,267673,251252,223182,262961,211526,239891,242430,271206,229065,291100,232653,241220,257565,253691,246418,233303,224586,210617,197694,187377,230002,221937,213523,234692,242272,271954,280991,272169,264890,303191,266753,268807,262021,307996,259141,273534,256303,263422,362153,293951,236441,289569,259329,272030,256165,289127,270541,247629,256859,296207,275670,263819,270381,301251,263128,284086,270834,257309,242943,273498,273292,245903,289170,281670,261348,287511,354205,290400,272641,327340,264142,270839,300220,313633,283592,284267,350709
