계정항목,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
수출총액,36260420,35924541,43002468,41081553,39733794,45209071,40881700,40124791,40846252,41983329,45309141,45068880,40257000,43166536,48637832,50843799,44926979,51272452,48830440,47105569,55115240,44791239,49707197,49040139,49221291,44523530,51309932,49850235,50687750,51079375,51810255,51180449,50650208,54860310,51479530,48206793,46168934,39481803,47003206,48781156,45703948,44008404,46078221,44020065,44629053,46648756,44040722,45668341,43103061,40911819,46167204,36270183,34854511,39214071,42785144,39469231,47819948,44818534,45751883,51332449,48006974,44706907,53690914,51225991,50725161,54778905,55461518,53165104,55913862,55660373,60330542,60734117,55455376,54155835,63786835,57842816,61591326,57679934,60241774,56605950,57176300,52428092,51771855,54848666,46339145,49994593,54882484,49430879,52054195,54297754,50457776,51994074,54650691,54989950,55561090,57573193,54726920,52098575,56518660,56150532,58017690,57342745,57460772,57644555,58551357,57508046,56302773,61368980,49181653,52451814
네덜란드,235414,288205,362395,289663,377611,307125,414391,239687,383069,251946,314110,357286,273485,401532,377161,375507,517861,457705,471426,340832,440646,279038,369337,344761,459867,413101,395601,436356,409041,410756,531491,318434,296477,459743,303960,340339,378999,289723,368828,582380,351871,321891,373796,301571,307347,280603,352246,333858,279562,356532,398899,337776,281510,296824,288983,325480,322703,353138,357095,388532,395533,385612,476175,462350,429355,514041,517861,428744,618507,499294,516549,566837,543310,568528,626540,496202,850700,772553,809741,837423,710468,576915,585960,490760,459675,768897,567927,567594,631577,595308,590728,566436,565942,442836,537548,561100,538015,586896,705753,577598,550036,480475,618509,497918,616381,537033,567782,523321,459037,581047
대만,819716,766092,1004232,926075,929800,1026045,973517,1008757,1078074,1236790,1304056,1147301,1028382,1132744,1314245,1209989,1331458,1230754,1338658,1301929,1357134,1138593,1289957,1224555,1431091,1117926,1379982,1425180,1466129,1631558,1860748,1980591,2260227,2577681,2235810,1416588,1289233,1110423,1295304,1365212,1314273,1279975,1162373,1358374,1322317,1602219,1119454,1447152,1172396,1066634,1257872,1251015,1207890,1348432,1303771,1413335,1524871,1551769,1593029,1774431,1597108,1677060,1901696,1770535,1950812,2062478,2022050,2138340,2206938,2226232,2398739,2333288,1888769,2243277,2621276,2309273,2949302,2415618,2031223,2219440,1985916,1794126,1936579,1803441,1212507,1413003,1657083,1490713,1597982,1839431,1416002,1845128,2145494,1702460,1691821,2167143,1773987,1531947,1988521,2086946,2517020,3314423,2773161,3146051,3719284,3528732,3254440,4326406,2439017,2751319
독일,451720,424593,566394,520879,528826,583131,602381,476712,512071,603170,619027,554059,820451,664360,749057,793622,633525,681388,733380,691210,721607,624105,691223,679919,740321,650629,831472,843058,905209,832285,798129,767245,741648,761038,754594,747028,806681,638772,782634,767488,760333,699696,657746,650596,699791,769706,662623,789672,728795,592074,891397,785610,729780,652475,819472,637646,855044,783262,977415,1123166,1045344,1031447,1165307,981881,949240,1019440,771280,786968,830673,792840,820883,914588,807233,743495,957361,897849,893904,864252,886188,803647,942249,723292,628425,919837,734831,801111,895024,898220,815507,1231512,973241,700175,939329,712267,858698,757206,759970,850554,797172,918764,912448,669830,625648,867481,695850,710534,616899,612742,777008,838495
러시아,287031,324490,370676,327022,414921,509067,475884,388289,380491,432793,433821,424265,376389,613475,670438,547344,572377,966388,606304,517029,564923,431119,538023,502809,566186,590238,659944,611782,603795,628621,641263,586463,553580,651507,638669,588851,653642,575262,643787,697127,747590,650126,685976,637943,680767,635309,594627,571978,523531,540899,580221,426823,366598,420056,599202,505635,691551,789161,699100,757190,666384,665404,793111,836356,772787,961017,806026,674274,1083206,805868,857756,1057351,807990,931565,349729,244837,313499,337363,462934,438303,502047,646431,791746,501729,476571,513593,677197,745629,637895,741087,407103,372975,368743,384949,396212,411482,393082,703424,308283,316421,313514,358320,379387,380733,350113,333012,371167,354766,223442,298028
말레이시아,431855,433496,475632,1240656,549655,526364,612236,649113,772150,563719,725085,553386,564291,1089829,571302,554376,982975,577418,754676,571426,644479,495788,629843,608583,646366,864256,692381,876953,698899,800641,724815,748615,693399,900994,716575,629984,943094,604625,730149,704578,809083,697488,733402,798939,744023,773673,598023,706421,2278461,685743,698705,508540,431529,471842,559760,574612,739204,653090,664589,812077,640337,719892,729309,799769,935343,772821,745959,714211,842732,1025860,954468,1226627,852348,905119,982354,1012967,897014,1007057,1335639,1213956,919007,717097,827644,803277,852154,781237,758261,649434,651712,759755,663330,996971,783620,999501,940532,923568,774758,938591,805264,862003,834727,841755,944778,921865,822165,1038707,854918,803123,921617,1037220
미국,5040734,5222510,6544965,5823758,5669350,6053159,5290588,4818513,5132438,5401982,5723086,5741228,4940101,5312453,6200928,6035663,5523902,5980992,5660934,5952844,6597924,4726842,6381591,5295553,5159691,4682548,6078616,5942114,6153033,6421518,6151681,6048102,5821081,6980164,6840971,6440415,6209466,5442457,6319152,6158443,6500301,6249176,6113230,5619803,5690676,6357758,6265034,6418400,5740347,5931572,7281215,5277226,4589358,5735515,6596979,5581925,6997554,6562209,6664272,7157647,8412355,6396235,7970756,7557229,7448016,8717226,8724016,7704224,7983934,8066783,8133640,8787542,8569920,7740905,9638757,9605726,9620649,9768741,10104092,8751247,9248928,8591668,8775694,9349378,8058604,8991831,9775068,9181047,9459648,9599198,9309186,8959141,10078334,10059689,10943600,11280989,10252365,9809136,10881299,11401875,10930557,11295719,10184322,9937584,10416094,10396460,10376748,11904318,9298681,9906630
브라질,288870,344828,351532,361514,412261,389582,415485,380271,374541,363147,410275,364236,449005,447630,514491,496971,432066,465512,467962,439108,502579,415140,436999,437768,492937,445018,448065,438124,428541,396582,370625,405559,375139,380051,353819,349233,430586,374221,437660,422632,449469,435347,425148,407401,365310,380897,317972,362564,319525,360012,358588,236665,208194,260659,338073,293807,401137,355573,332949,478457,440973,387574,443797,407932,333900,406245,376549,322290,382121,344892,382724,437444,440882,528818,479413,396405,462473,383562,416897,419342,448273,318542,319878,361078,341469,342709,430260,344040,387642,389636,345484,335317,372589,333798,333313,387538,421342,412914,453972,496120,452050,437407,482531,463951,440469,390033,390258,413492,405488,427619
사우디아라비아,395576,528839,561753,537624,475213,513082,405116,432173,404201,454944,491188,444159,373782,369717,458506,430779,527277,421666,436829,391725,348776,417475,570817,399705,466407,420942,347406,418770,279338,255834,232072,207730,336040,361090,325826,300496,215290,280202,292903,288894,253962,297053,358419,326405,321590,365036,331281,366086,255848,271476,376710,278416,257467,240444,198304,263558,327970,249922,334832,246948,227812,238687,224790,207464,196758,252604,313800,195226,277894,415495,297146,477017,280058,303310,395285,342504,421496,428162,452846,383745,434377,356194,495054,572120,391328,398244,625621,410843,401490,478008,463324,446212,372447,409101,379631,548451,503060,409281,384382,479791,445553,506920,366726,422795,462474,332938,453592,468216,292412,358821
스위스,47026,51084,44520,56906,53378,56115,50231,40908,31488,31779,53689,40629,27606,30935,39248,27604,29746,35374,50029,59192,73781,32289,45826,36344,32249,31211,38316,38896,55728,46685,36017,38910,42073,41731,52195,42521,40240,29189,46395,57080,41661,72849,57432,39333,54798,57810,54724,37155,30791,50987,50216,39062,43214,78445,88620,72204,79937,50261,66297,65841,53368,47439,72880,51079,47340,68606,94822,75192,129087,82981,65781,66870,67988,76274,58397,67074,56007,84209,67006,89621,102081,80592,119330,105690,96214,124370,100192,78438,109880,87717,79566,68369,81820,92098,101769,104253,108253,88397,108941,124506,121433,103675,81305,82563,55138,77456,92222,116118,101203,137280
