구분코드,계정항목,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
장기금리,한국,2.03,1.83,1.85,1.81,1.79,1.62,1.4,1.42,1.51,1.6,1.97,2.16,2.11,2.16,2.22,2.18,2.26,2.17,2.25,2.29,2.29,2.46,2.54,2.47,2.63,2.77,2.71,2.66,2.76,2.66,2.55,2.46,2.32,2.34,2.21,1.99,1.99,1.99,1.95,1.89,1.83,1.62,1.51,1.25,1.42,1.58,1.75,1.65,1.66,1.54,1.49,1.5,1.39,1.39,1.36,1.37,1.5,1.51,1.61,1.68,1.73,1.85,2.04,2.04,2.13,2.1,1.98,1.91,2.06,2.4,2.36,2.19,2.49,2.69,2.78,3.22,3.3,3.64,3.3,3.32,3.9,4.27,3.92,3.54,3.41,3.45,3.45,3.32,3.4,3.61,3.68,3.86,3.95,4.27,3.89,3.42,3.35,3.43,3.39,3.57,3.53,3.34,3.17,3.0,3.01,3.07,3.01,2.77,2.82,2.83
장기금리,미국,2.09,1.78,1.89,1.81,1.81,1.64,1.5,1.56,1.63,1.76,2.14,2.49,2.43,2.42,2.48,2.3,2.3,2.19,2.32,2.21,2.2,2.36,2.35,2.4,2.58,2.86,2.84,2.87,2.98,2.91,2.89,2.89,3.0,3.15,3.12,2.83,2.71,2.68,2.57,2.53,2.4,2.07,2.06,1.63,1.7,1.71,1.81,1.86,1.76,1.5,0.87,0.66,0.67,0.73,0.62,0.65,0.68,0.79,0.87,0.93,1.08,1.26,1.61,1.64,1.62,1.52,1.32,1.28,1.37,1.58,1.56,1.47,1.76,1.93,2.13,2.75,2.9,3.14,2.9,2.9,3.52,3.98,3.89,3.62,3.53,3.75,3.66,3.46,3.57,3.75,3.9,4.17,4.38,4.8,4.5,4.02,4.06,4.21,4.21,4.54,4.48,4.31,4.25,3.87,3.72,4.1,4.36,4.39,4.63,4.45
장기금리,중국,2.84,2.85,2.84,2.89,2.99,2.84,2.78,2.74,2.73,2.74,2.95,3.01,3.35,3.29,3.28,3.47,3.61,3.57,3.63,3.63,3.61,3.89,3.89,3.88,3.91,3.82,3.74,3.62,3.61,3.48,3.48,3.58,3.61,3.51,3.36,3.23,3.1,3.17,3.07,3.39,3.28,3.23,3.16,3.06,3.14,3.29,3.17,3.14,2.99,2.74,2.59,2.54,2.71,2.82,2.97,3.02,3.15,3.18,3.25,3.14,3.18,3.28,3.19,3.16,3.05,3.08,2.84,2.85,2.88,2.97,2.83,2.78,2.7,2.78,2.79,2.84,2.74,2.82,2.76,2.62,2.76,2.64,2.89,2.84,2.9,2.9,2.85,2.78,2.69,2.64,2.66,2.56,2.68,2.69,2.67,2.56,2.43,2.34,2.29,2.3,2.29,2.21,2.15,2.17,2.15,2.15,2.02,1.68,1.63,2.91
장기금리,일본,0.1,-0.07,-0.05,-0.09,-0.12,-0.23,-0.2,-0.07,-0.09,-0.05,0.02,0.04,0.09,0.05,0.07,0.02,0.04,0.08,0.08,0.01,0.06,0.07,0.04,0.05,0.08,0.05,0.05,0.05,0.03,0.03,0.06,0.11,0.13,0.13,0.09,-0.01,0.0,-0.02,-0.1,-0.05,-0.1,-0.17,-0.16,-0.28,-0.22,-0.15,-0.08,-0.03,-0.07,-0.16,0.01,-0.04,0.0,0.03,0.01,0.05,0.02,0.04,0.03,0.02,0.06,0.15,0.12,0.09,0.08,0.05,0.02,0.02,0.07,0.1,0.05,0.07,0.17,0.18,0.21,0.22,0.24,0.23,0.18,0.22,0.24,0.25,0.25,0.41,0.49,0.5,0.32,0.39,0.43,0.4,0.6,0.64,0.77,0.95,0.66,0.62,0.73,0.71,0.73,0.87,1.07,1.05,1.05,0.89,0.86,0.94,1.05,1.09,1.25,1.37
장기금리,독일,0.43,0.17,0.17,0.13,0.13,-0.02,-0.15,-0.13,-0.08,0.0,0.19,0.25,0.25,0.26,0.35,0.23,0.34,0.25,0.46,0.35,0.35,0.37,0.31,0.3,0.47,0.66,0.53,0.48,0.45,0.33,0.27,0.29,0.37,0.4,0.31,0.19,0.13,0.06,0.01,-0.04,-0.13,-0.32,-0.39,-0.65,-0.59,-0.47,-0.35,-0.3,-0.31,-0.47,-0.54,-0.45,-0.52,-0.43,-0.52,-0.52,-0.52,-0.61,-0.61,-0.62,-0.58,-0.45,-0.36,-0.33,-0.22,-0.29,-0.45,-0.54,-0.36,-0.2,-0.31,-0.38,-0.11,0.15,0.28,0.75,0.95,1.45,1.08,1.03,1.8,2.19,2.07,2.09,2.19,2.37,2.38,2.36,2.34,2.38,2.46,2.55,2.66,2.82,2.6,2.1,2.17,2.33,2.35,2.45,2.52,2.48,2.46,2.21,2.17,2.23,2.31,2.18,2.48,2.41
장기금리,인도,7.67,7.72,7.58,7.44,7.28,7.5,7.35,7.14,6.86,6.78,6.61,6.53,6.79,6.98,7.12,7.16,7.11,6.58,6.55,6.6,6.72,6.94,7.17,7.35,7.22,7.57,7.61,7.55,7.85,7.94,7.8,7.82,8.02,7.92,7.78,7.37,7.35,7.43,7.41,7.42,7.33,6.97,6.6,6.62,6.81,6.54,6.63,6.85,6.82,6.66,6.7,6.77,5.92,5.86,5.81,6.01,6.02,5.94,5.9,5.89,5.94,6.19,6.35,6.28,6.23,6.27,6.21,6.28,6.19,6.36,6.35,6.44,6.64,6.75,6.82,7.11,7.39,7.53,7.4,7.27,7.28,7.46,7.36,7.29,7.39,7.33,7.36,7.18,7.01,7.05,7.11,7.18,7.17,7.35,7.27,7.22,7.2,7.09,7.07,7.15,7.05,7.02,7.01,6.91,6.83,6.79,6.82,6.78,6.76,6.73
장기금리,영국,1.78,1.5,1.54,1.57,1.54,1.31,0.96,0.74,0.82,1.08,1.38,1.43,1.42,1.31,1.19,1.08,1.12,1.08,1.27,1.12,1.24,1.38,1.33,1.28,1.39,1.6,1.51,1.51,1.5,1.42,1.37,1.4,1.5,1.55,1.45,1.31,1.32,1.24,1.19,1.19,1.13,0.92,0.83,0.58,0.6,0.64,0.77,0.83,0.72,0.63,0.46,0.36,0.27,0.28,0.21,0.27,0.27,0.31,0.38,0.32,0.37,0.62,0.85,0.85,0.91,0.85,0.7,0.64,0.8,1.08,0.94,0.84,1.21,1.49,1.55,1.84,1.91,2.38,2.15,2.33,3.5,4.11,3.42,3.5,3.51,3.56,3.56,3.65,3.96,4.37,4.44,4.53,4.42,4.57,4.27,3.86,3.93,4.12,4.03,4.22,4.22,4.16,4.14,3.94,3.91,4.2,4.42,4.43,4.66,4.51
장기금리,프랑스,0.85,0.59,0.51,0.51,0.51,0.39,0.17,0.15,0.18,0.33,0.66,0.75,0.86,1.03,1.02,0.88,0.8,0.66,0.84,0.71,0.7,0.81,0.72,0.68,0.85,0.98,0.83,0.78,0.79,0.75,0.67,0.7,0.77,0.82,0.76,0.7,0.65,0.55,0.44,0.37,0.3,0.08,-0.07,-0.34,-0.27,-0.16,-0.02,0.04,-0.01,-0.18,-0.05,0.06,-0.03,-0.04,-0.15,-0.17,-0.21,-0.3,-0.32,-0.34,-0.31,-0.15,-0.07,-0.01,0.21,0.15,-0.01,-0.12,0.04,0.2,0.1,0.05,0.31,0.68,0.78,1.28,1.52,2.06,1.71,1.69,2.41,2.77,2.58,2.62,2.69,2.87,2.92,2.9,2.94,2.93,3.04,3.11,3.24,3.45,3.19,2.65,2.74,2.85,2.82,2.97,3.03,3.15,3.14,2.94,2.9,2.99,3.09,3.01,3.32,3.15
장기금리,캐나다,1.26,1.12,1.27,1.34,1.35,1.17,1.05,1.04,1.09,1.17,1.44,1.73,1.72,1.7,1.71,1.52,1.51,1.5,1.91,1.88,2.05,2.05,1.92,1.92,2.2,2.32,2.19,2.25,2.38,2.21,2.19,2.3,2.35,2.49,2.41,2.06,1.95,1.91,1.71,1.72,1.66,1.46,1.52,1.21,1.36,1.45,1.5,1.6,1.49,1.29,0.82,0.66,0.55,0.56,0.52,0.56,0.56,0.6,0.69,0.73,0.81,1.1,1.5,1.52,1.52,1.43,1.25,1.19,1.26,1.6,1.69,1.45,1.76,1.88,2.13,2.7,2.92,3.32,3.04,2.86,3.15,3.38,3.17,2.94,2.94,3.17,2.99,2.92,3.05,3.34,3.45,3.65,3.82,4.06,3.71,3.23,3.35,3.5,3.44,3.7,3.64,3.39,3.41,3.07,2.94,3.19,3.28,3.16,3.29,3.06
장기금리,이탈리아,1.53,1.56,1.38,1.44,1.53,1.45,1.23,1.18,1.27,1.45,1.94,1.89,1.99,2.35,2.4,2.26,2.19,2.05,2.23,2.11,2.11,2.07,1.79,1.8,1.98,2.08,1.97,1.77,2.18,2.74,2.64,3.16,2.96,3.47,3.39,2.98,2.77,2.81,2.69,2.62,2.64,2.28,1.65,1.4,0.9,1.0,1.27,1.37,1.28,0.96,1.55,1.8,1.76,1.46,1.2,1.03,0.98,0.77,0.66,0.58,0.62,0.59,0.7,0.8,0.98,0.88,0.75,0.63,0.78,0.96,1.01,1.05,1.35,1.79,1.85,2.44,2.99,3.64,3.36,3.3,4.14,4.53,4.24,4.26,4.24,4.27,4.24,4.23,4.31,4.07,4.16,4.22,4.51,4.89,4.43,3.82,3.81,3.87,3.7,3.86,3.84,3.94,3.83,3.68,3.57,3.5,3.57,3.32,3.68,3.58
장기금리,브라질,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.75,6.75,6.75,6.6,6.6,6.6,6.56,6.56,6.56,6.98,6.98,6.98,7.03,7.03,7.03,6.26,6.26,6.26,5.95,5.95,5.95,5.57,5.57,5.57,5.09,5.09,5.09,4.94,4.94,4.94,4.91,4.91,4.91,4.55,4.55,4.55,4.39,4.39,4.39,4.61,4.61,4.61,4.88,4.88,4.88,5.32,5.32,5.32,6.08,6.08,6.08,6.82,6.82,6.82,7.01,7.01,7.01,7.2,7.2,7.2,7.37,7.37,7.37,7.28,7.28,7.28,7.0,7.0,7.0,6.55,6.55,6.55,6.53,6.53,6.53,6.67,6.67,6.67,6.91,6.91,6.91,7.43,7.43,7.43,7.97,7.97
장기금리,오스트레일리아,2.71,2.47,2.56,2.51,2.32,2.13,1.94,1.89,2.0,2.23,2.54,2.8,2.71,2.74,2.8,2.56,2.55,2.42,2.66,2.63,2.71,2.77,2.57,2.58,2.75,2.85,2.71,2.73,2.79,2.7,2.64,2.59,2.63,2.68,2.68,2.43,2.27,2.13,1.96,1.87,1.66,1.39,1.32,0.96,1.04,1.04,1.15,1.2,1.16,0.98,0.88,0.85,0.9,0.93,0.9,0.91,0.89,0.8,0.86,0.98,1.05,1.33,1.71,1.68,1.66,1.53,1.25,1.14,1.28,1.71,1.81,1.61,1.89,2.11,2.5,3.01,3.38,3.77,3.43,3.36,3.75,3.92,3.7,3.55,3.6,3.7,3.47,3.34,3.5,3.92,4.04,4.13,4.21,4.63,4.58,4.19,4.15,4.14,4.05,4.27,4.33,4.24,4.33,3.98,3.92,4.27,4.54,4.31,4.48,4.44
장기금리,멕시코,6.23,6.07,6.03,5.11,5.91,6.08,4.42,6.01,5.99,6.09,5.36,7.25,7.6,5.14,7.4,7.24,7.32,4.61,6.88,6.89,6.79,4.79,7.19,7.53,4.5,7.64,7.52,7.54,4.89,7.88,7.75,7.83,5.38,8.17,9.11,5.2,8.71,8.49,8.01,4.84,8.24,7.68,4.34,7.53,7.08,6.87,4.11,7.14,6.85,6.47,4.38,7.37,6.06,4.05,5.81,5.77,5.68,3.69,6.07,5.67,5.61,3.96,6.25,6.68,4.02,6.54,6.9,6.98,3.81,7.61,7.54,7.57,4.15,7.68,8.6,8.86,8.87,9.22,8.78,5.24,9.1,9.52,9.75,8.94,8.69,9.38,5.12,8.89,8.76,8.57,5.18,9.1,9.68,5.84,10.23,9.39,9.31,5.37,9.2,9.85,9.64,5.64,9.95,9.74,9.21,10.06,10.02,10.43,10.33,9.85
장기금리,인도네시아,8.38,8.2,7.66,7.7,7.83,7.43,6.9,7.14,6.99,7.27,8.17,7.99,7.59,7.53,7.01,7.01,6.94,6.8,6.93,6.67,6.47,6.81,6.49,6.29,6.26,6.53,6.66,6.86,7.0,7.88,7.7,8.1,8.14,8.56,7.83,7.97,8.06,7.82,7.66,7.8,7.88,7.33,7.35,7.3,7.27,6.98,7.06,7.07,6.66,6.87,7.87,7.82,7.31,7.17,6.78,6.84,6.88,6.58,6.16,5.93,6.21,6.6,6.77,6.45,6.38,6.56,6.24,6.04,6.35,6.16,6.25,6.35,6.41,6.5,6.71,6.96,7.06,7.17,7.11,7.11,7.34,7.5,6.89,6.91,6.69,6.86,6.77,6.45,6.36,6.22,6.33,6.36,6.91,7.05,6.6,6.6,6.56,6.6,6.68,7.22,6.9,7.03,6.89,6.62,6.43,6.76,6.82,7.01,5.36,5.12
장기금리,스위스,-0.3,-0.45,-0.39,-0.25,-0.3,-0.51,-0.54,-0.46,-0.52,-0.36,-0.13,-0.14,-0.07,-0.21,-0.1,-0.1,-0.15,-0.03,0.06,-0.11,0.02,-0.03,-0.05,-0.1,0.1,0.12,0.05,0.12,-0.01,-0.01,0.04,-0.03,0.11,0.07,-0.02,-0.15,-0.21,-0.24,-0.35,-0.27,-0.45,-0.48,-0.65,-0.98,-0.7,-0.51,-0.58,-0.46,-0.7,-0.83,-0.37,-0.49,-0.47,-0.44,-0.53,-0.41,-0.5,-0.52,-0.51,-0.53,-0.45,-0.23,-0.27,-0.21,-0.13,-0.2,-0.37,-0.35,-0.17,-0.05,-0.23,-0.13,0.05,0.26,0.68,0.82,0.78,1.15,0.52,0.79,1.16,1.12,1.06,1.57,1.26,1.45,1.23,1.08,0.85,0.97,0.98,0.95,1.09,1.05,0.82,0.66,0.83,0.83,0.64,0.69,0.92,0.56,0.45,0.45,0.41,0.45,0.29,0.32,0.38,0.4
장기금리,스웨덴,0.77,0.77,0.82,0.81,0.77,0.52,0.17,0.1,0.22,0.24,0.43,0.61,0.65,0.66,0.69,0.57,0.56,0.46,0.66,0.63,0.62,0.88,0.76,0.72,0.85,0.91,0.77,0.71,0.66,0.55,0.51,0.52,0.6,0.67,0.6,0.47,0.43,0.36,0.29,0.38,0.22,0.05,0.02,-0.29,-0.23,-0.16,0.0,0.07,0.11,-0.05,-0.17,-0.07,-0.06,0.01,-0.07,-0.04,-0.08,-0.03,0.0,0.01,0.07,0.25,0.4,0.37,0.42,0.36,0.18,0.11,0.27,0.38,0.27,0.14,0.36,0.61,0.82,1.47,1.77,1.86,1.53,1.61,2.08,2.2,2.01,1.97,2.08,2.37,2.35,2.37,2.32,2.46,2.52,2.75,2.89,3.02,2.75,2.21,2.23,2.43,2.4,2.51,2.38,2.26,2.13,1.93,1.93,2.04,2.07,2.1,2.32,2.26
