계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
한국,0.383,1.254,0.389,0.773,1.119,0.738,1.380,-0.228,1.453,0.785,0.520,0.568,0.058,1.329,0.215,1.005,-1.286,-2.740,2.209,1.574,1.543,1.344,0.034,1.594,0.483,0.798,0.390,-0.452,0.440,0.551,0.753,0.455,1.300,-0.228,0.100,0.066 
호주,0.920,0.642,-0.008,1.157,0.308,0.609,0.931,0.425,1.031,0.733,0.376,0.240,0.717,0.285,0.574,0.613,-0.155,-6.748,3.500,3.442,2.203,0.804,-1.698,3.531,0.998,0.968,0.475,0.661,0.535,0.331,0.525,0.090,0.172,0.193,0.319,0.583 
오스트리아,1.010,0.054,0.583,0.429,1.063,0.364,0.567,0.557,0.432,0.840,0.507,0.989,0.783,-0.308,0.209,-0.326,-2.215,-11.901,11.469,-1.351,-1.417,4.602,3.583,0.057,0.291,2.820,-0.089,0.035,-0.690,-0.385,-0.843,-0.498,0.031,-0.387,-0.202,-0.351 
벨기에,0.114,0.591,0.182,0.368,0.615,0.225,-0.060,0.799,0.412,0.506,0.435,0.919,0.411,0.593,0.789,0.551,-2.600,-10.904,11.484,-0.456,1.579,1.539,1.950,0.928,0.703,1.303,0.765,0.255,0.165,0.130,0.040,0.279,0.315,0.276,0.306,0.183 
캐나다,0.592,-0.498,1.038,0.561,1.258,1.053,0.031,0.507,1.163,0.780,0.504,0.236,0.241,1.095,0.280,0.286,-1.950,-11.000,9.084,1.878,1.704,-0.117,2.015,1.790,0.853,0.938,0.605,-0.143,0.967,0.207,-0.138,0.175,0.454,0.685,0.549,0.647 
칠레,0.825,-0.319,0.625,0.037,-0.812,1.369,1.859,0.928,0.887,1.380,-0.539,1.456,-0.694,1.356,0.128,-3.928,1.927,-12.585,4.885,6.848,3.785,1.090,4.064,2.060,-1.310,0.022,-0.402,-0.386,0.363,0.511,0.980,-0.481,1.656,-0.422,1.470,0.363 
중국,1.600,1.800,1.700,1.500,1.800,1.700,1.700,1.500,1.900,1.800,1.500,1.200,1.800,1.600,1.400,0.900,-10.500,12.800,3.000,2.300,0.100,2.700,0.300,1.300,0.200,-0.800,3.100,0.500,1.700,1.200,1.500,0.900,1.500,0.900,1.300,1.600 
체코,0.286,0.289,0.937,0.915,1.605,2.435,0.802,0.723,0.408,0.309,0.668,1.096,1.307,0.497,0.735,0.742,-3.468,-8.736,7.376,1.022,-0.228,1.400,1.733,0.953,0.676,0.244,0.166,-0.136,0.026,0.151,-0.381,0.298,0.283,0.257,0.590,0.671 
덴마크,1.234,1.091,0.816,0.529,0.967,1.206,-0.223,0.761,0.813,-0.035,0.537,0.149,0.397,0.909,0.324,0.353,-0.831,-5.929,6.033,0.038,0.870,4.042,2.358,2.711,-2.510,-0.141,0.624,-0.970,1.957,-0.102,1.499,1.244,-0.235,1.395,1.315,1.595 
에스토니아,1.577,-0.222,1.069,1.208,1.987,1.709,0.400,1.441,0.636,0.988,0.711,1.032,1.924,0.044,0.173,0.676,-1.321,-5.855,4.471,1.860,3.028,2.575,-0.571,1.127,0.524,-1.688,-0.409,-1.069,-1.315,-0.098,-0.367,-0.525,-0.039,0.184,0.230,0.683 
