계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
농림어업,"7,676.5 ","8,402.9 ","7,966.0 ","7,839.3 ","8,235.5 ","8,465.8 ","8,588.7 ","7,881.0 ","7,736.6 ","7,840.1 ","8,099.3 ","8,422.1 ","7,875.8 ","7,560.1 ","7,351.4 ","7,962.3 ","8,093.2 ","7,559.9 ","8,606.4 ","8,222.0 ","9,222.9 ","9,306.7 ","9,291.9 ","9,176.9 ","8,618.1 ","8,590.7 ","8,413.3 ","8,034.2 ","8,216.7 ","8,538.6 ","8,568.0 ","9,001.8 ","10,106.8 ","9,030.6 ","8,523.2 ","9,648.7 "
광공업,"125,644.6 ","126,994.4 ","124,019.7 ","129,885.4 ","135,094.1 ","133,223.4 ","140,238.2 ","135,867.5 ","136,275.3 ","140,356.2 ","143,607.0 ","139,040.4 ","135,110.3 ","136,215.4 ","134,705.5 ","133,961.0 ","131,101.8 ","128,357.9 ","134,027.6 ","137,280.7 ","140,736.6 ","142,521.1 ","150,611.4 ","151,184.0 ","158,106.6 ","155,416.5 ","154,060.1 ","149,974.1 ","147,787.2 ","150,678.1 ","156,095.4 ","162,574.0 ","166,018.4 ","173,137.2 ","170,792.3 ","177,029.4 "
  광업,535.5 ,527.8 ,596.8 ,563.6 ,572.1 ,576.2 ,564.3 ,501.5 ,514.2 ,505.8 ,476.9 ,500.8 ,477.9 ,472.9 ,459.8 ,473.3 ,435.9 ,421.2 ,414.6 ,465.4 ,437.3 ,463.1 ,476.3 ,466.9 ,466.9 ,434.3 ,447.6 ,459.0 ,530.1 ,520.3 ,572.4 ,638.5 ,585.8 ,533.4 ,511.4 ,467.9 
  제조업,"125,109.2 ","126,466.6 ","123,422.9 ","129,321.9 ","134,522.0 ","132,647.2 ","139,674.0 ","135,366.0 ","135,761.1 ","139,850.4 ","143,130.2 ","138,539.5 ","134,632.4 ","135,742.5 ","134,245.7 ","133,487.7 ","130,666.0 ","127,936.7 ","133,613.0 ","136,815.3 ","140,299.3 ","142,058.0 ","150,135.2 ","150,717.1 ","157,639.7 ","154,982.2 ","153,612.5 ","149,515.2 ","147,257.1 ","150,157.8 ","155,523.0 ","161,935.5 ","165,432.6 ","172,603.9 ","170,280.9 ","176,561.5 "
    음식료품 제조업,"5,603.3 ","5,670.0 ","5,820.3 ","5,624.9 ","5,786.9 ","5,919.8 ","6,081.6 ","5,823.4 ","6,254.9 ","6,117.3 ","6,168.4 ","6,302.9 ","6,362.2 ","6,577.6 ","6,458.1 ","6,529.3 ","6,349.7 ","6,437.8 ","7,016.1 ","7,373.5 ","6,974.1 ","6,808.3 ","6,776.5 ","6,962.7 ","7,210.0 ","7,333.3 ","7,442.9 ","7,767.2 ","8,125.3 ","8,164.5 ","8,964.4 ","9,146.2 ","8,268.7 ","8,388.8 ","8,773.5 ","9,313.0 "
    섬유 및 가죽제품 제조업,"4,762.5 ","4,717.3 ","4,658.5 ","4,710.5 ","4,593.4 ","4,467.9 ","4,518.0 ","4,448.9 ","4,424.8 ","4,447.4 ","4,421.4 ","4,413.8 ","4,335.3 ","4,385.7 ","4,362.2 ","4,406.6 ","4,329.0 ","3,881.6 ","4,564.3 ","4,418.0 ","4,118.7 ","3,981.6 ","4,047.2 ","4,059.7 ","4,246.3 ","4,293.4 ","4,169.6 ","4,410.1 ","4,816.5 ","4,816.3 ","5,081.1 ","5,006.2 ","5,191.2 ","5,277.7 ","5,255.3 ","5,180.7 "
"    목재, 종이, 인쇄 및 복제업","3,521.6 ","3,639.6 ","3,783.4 ","3,627.7 ","3,487.0 ","3,257.1 ","3,513.2 ","3,508.3 ","3,655.1 ","3,755.2 ","3,804.9 ","3,856.3 ","3,722.5 ","3,644.3 ","3,624.5 ","3,715.3 ","3,610.9 ","3,409.5 ","3,565.2 ","3,628.5 ","3,596.6 ","3,698.3 ","3,853.2 ","3,967.0 ","4,098.6 ","4,101.1 ","3,986.8 ","3,975.4 ","4,007.9 ","4,110.5 ","4,235.5 ","4,094.0 ","4,078.0 ","4,085.8 ","4,035.9 ","4,136.9 "
    코크스 및 석유정제품 제조업,"3,448.6 ","3,764.0 ","4,096.6 ","4,023.5 ","4,773.4 ","3,271.5 ","4,457.3 ","4,805.4 ","3,777.8 ","4,495.2 ","3,952.0 ","2,868.1 ","2,995.9 ","2,872.1 ","2,676.0 ","3,023.8 ",555.2 ,752.2 ,625.6 ,839.5 ,"2,956.4 ","2,631.3 ","4,382.7 ","4,231.4 ","6,036.8 ","7,012.6 ","4,872.3 ","4,132.3 ","5,173.7 ","4,205.4 ","5,887.0 ","7,085.1 ","6,254.0 ","5,483.1 ","4,543.5 ","4,340.1 "
    화학물질 및 화학제품 제조업,"20,358.5 ","21,386.1 ","20,840.0 ","20,423.4 ","20,767.5 ","20,489.2 ","22,415.9 ","21,450.3 ","20,733.2 ","21,650.3 ","21,985.6 ","21,372.5 ","21,262.8 ","21,518.6 ","21,608.4 ","21,315.6 ","21,195.7 ","21,662.2 ","22,725.2 ","23,618.7 ","23,985.3 ","23,670.8 ","25,545.3 ","26,318.6 ","26,937.7 ","24,527.8 ","23,948.9 ","24,195.3 ","24,671.2 ","24,268.6 ","24,673.4 ","25,016.2 ","25,608.0 ","25,262.5 ","25,064.8 ","26,428.7 "
    비금속광물제품 제조업,"3,090.1 ","3,102.8 ","3,171.2 ","3,342.6 ","3,513.9 ","3,104.3 ","3,244.2 ","3,065.6 ","3,236.1 ","3,290.7 ","3,208.6 ","3,347.3 ","3,170.5 ","3,168.6 ","3,205.0 ","3,179.6 ","3,006.7 ","2,980.9 ","3,135.2 ","3,194.8 ","3,066.8 ","2,943.6 ","2,927.0 ","2,729.4 ","2,947.3 ","2,934.0 ","3,099.5 ","2,920.8 ","3,446.9 ","3,413.6 ","3,186.7 ","3,261.4 ","3,412.1 ","3,448.7 ","3,340.3 ","3,356.4 "
