계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
농림어업,"8,594.9 ","8,375.3 ","8,373.7 ","8,322.1 ","8,174.6 ","8,629.8 ","8,660.2 ","8,622.1 ","8,502.5 ","8,602.1 ","8,290.7 ","8,427.5 ","8,776.9 ","8,821.8 ","8,744.0 ","8,465.9 ","8,316.0 ","8,098.4 ","7,944.7 ","8,122.6 ","8,499.2 ","8,022.4 ","8,488.8 ","8,588.2 ","8,537.4 ","8,347.7 ","8,445.1 ","8,536.1 ","8,244.8 ","8,455.3 ","8,448.6 ","7,823.7 ","7,966.5 ","8,317.8 ","8,518.7 ","8,228.2 "
광공업,"123,401.7 ","125,827.9 ","124,431.2 ","126,884.6 ","129,664.3 ","129,945.4 ","132,169.1 ","129,872.5 ","132,276.5 ","134,769.2 ","135,919.1 ","136,127.2 ","133,599.6 ","135,421.3 ","136,000.6 ","136,617.3 ","134,957.9 ","125,285.9 ","132,657.6 ","137,866.7 ","140,904.5 ","141,626.6 ","140,574.2 ","142,164.3 ","146,700.6 ","145,927.9 ","146,125.0 ","140,282.9 ","142,533.9 ","146,740.8 ","148,922.0 ","150,644.9 ","152,060.3 ","153,286.2 ","153,619.3 ","153,868.4 "
  광업,525.0 ,526.2 ,586.7 ,528.7 ,552.1 ,545.5 ,522.5 ,449.3 ,495.8 ,482.9 ,465.6 ,464.4 ,458.8 ,455.1 ,435.7 ,444.9 ,452.3 ,428.7 ,413.6 ,442.5 ,461.2 ,512.0 ,522.5 ,479.1 ,438.2 ,443.9 ,477.0 ,426.1 ,450.3 ,437.4 ,455.6 ,465.2 ,458.1 ,424.5 ,419.0 ,353.5 
  제조업,"122,874.1 ","125,299.1 ","123,842.1 ","126,353.3 ","129,109.8 ","129,397.6 ","131,644.6 ","129,422.2 ","131,779.4 ","134,285.6 ","135,453.3 ","135,662.7 ","133,140.4 ","134,965.8 ","135,564.8 ","136,172.2 ","134,505.0 ","124,856.3 ","132,245.0 ","137,424.6 ","140,443.3 ","141,114.6 ","140,051.7 ","141,685.2 ","146,255.1 ","145,477.5 ","145,644.7 ","139,850.5 ","142,078.3 ","146,296.8 ","148,460.2 ","150,173.6 ","151,597.7 ","152,864.4 ","153,204.2 ","153,531.7 "
    음식료품 제조업,"5,753.3 ","5,874.6 ","5,814.6 ","5,891.1 ","5,993.6 ","6,097.4 ","6,308.1 ","5,969.9 ","6,264.2 ","6,284.6 ","6,177.1 ","6,448.3 ","6,597.4 ","6,702.7 ","6,496.1 ","6,593.1 ","6,787.5 ","6,767.2 ","6,823.3 ","6,799.1 ","6,951.7 ","6,903.5 ","7,149.4 ","7,562.7 ","7,823.1 ","7,806.8 ","8,375.6 ","7,953.1 ","7,704.5 ","7,787.6 ","8,048.8 ","7,930.1 ","8,045.5 ","7,894.5 ","8,263.2 ","8,334.3 "
    섬유 및 가죽제품 제조업,"4,905.7 ","4,869.7 ","4,855.9 ","4,965.9 ","4,949.5 ","4,978.4 ","5,023.1 ","4,960.1 ","4,897.2 ","4,818.0 ","4,560.6 ","4,690.3 ","4,631.7 ","4,463.7 ","4,256.5 ","4,329.3 ","4,544.0 ","3,892.3 ","4,300.5 ","4,456.1 ","4,357.9 ","3,981.3 ","4,158.4 ","4,244.8 ","4,303.7 ","4,324.7 ","4,196.3 ","4,009.5 ","4,040.7 ","4,055.7 ","4,099.4 ","4,025.1 ","4,225.6 ","4,184.4 ","4,261.0 ","4,145.4 "
"    목재, 종이, 인쇄 및 복제업","3,780.8 ","3,862.9 ","3,769.1 ","3,746.7 ","3,717.2 ","3,622.6 ","3,534.1 ","3,494.9 ","3,574.4 ","3,677.1 ","3,605.1 ","3,693.4 ","3,520.2 ","3,562.3 ","3,602.6 ","3,667.5 ","3,632.5 ","3,455.4 ","3,556.4 ","3,569.9 ","3,621.8 ","3,545.6 ","3,587.0 ","3,629.0 ","3,583.3 ","3,692.1 ","3,625.3 ","3,457.9 ","3,278.8 ","3,473.4 ","3,440.7 ","3,446.7 ","3,481.1 ","3,573.1 ","3,436.7 ","3,381.3 "
    코크스 및 석유정제품 제조업,"4,297.4 ","4,152.5 ","3,913.9 ","3,827.3 ","4,033.4 ","3,832.5 ","3,995.8 ","3,943.9 ","3,635.6 ","3,638.4 ","3,453.6 ","3,406.9 ","2,955.0 ","2,778.8 ","2,745.6 ","2,682.3 ",709.7 ,651.0 ,617.9 ,794.0 ,"1,986.7 ","2,664.6 ","2,283.9 ","1,239.5 ","2,167.4 ","2,521.4 ","2,580.7 ","1,748.4 ","1,988.0 ","2,406.1 ","2,267.3 ","2,361.0 ","2,251.2 ","2,545.1 ","2,522.8 ","2,263.5 "
    화학물질 및 화학제품 제조업,"20,526.5 ","21,257.1 ","21,415.3 ","21,523.9 ","21,507.7 ","21,739.7 ","22,430.7 ","22,020.6 ","21,933.3 ","22,511.1 ","22,512.2 ","22,328.0 ","22,412.2 ","22,055.0 ","22,164.2 ","22,190.7 ","22,529.9 ","20,896.0 ","22,912.3 ","22,863.6 ","22,702.7 ","22,319.9 ","23,011.7 ","23,203.2 ","24,648.2 ","23,371.8 ","21,977.7 ","22,240.5 ","23,129.0 ","23,174.1 ","22,331.2 ","23,753.6 ","24,379.5 ","24,884.3 ","23,751.1 ","25,358.4 "
    비금속광물제품 제조업,"2,877.0 ","3,056.0 ","3,089.5 ","3,162.7 ","3,465.9 ","3,383.6 ","3,395.6 ","3,279.3 ","3,359.9 ","3,431.0 ","3,330.1 ","3,409.2 ","3,192.4 ","3,253.2 ","3,151.0 ","3,189.0 ","3,054.7 ","2,935.0 ","3,037.4 ","3,290.4 ","3,066.9 ","3,077.9 ","3,172.5 ","3,017.9 ","3,139.7 ","2,916.2 ","3,015.2 ","2,747.9 ","2,921.8 ","2,789.7 ","2,660.5 ","2,639.9 ","2,781.0 ","2,814.3 ","2,647.2 ","2,654.8 "
