계정항목,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    운송장비,109.02,108.85,109.31,109.21,109.15,108.52,108.46,108.75,107.96,109.34,108.24,107.49,107.75
      운송장비,109.02,108.85,109.31,109.21,109.15,108.52,108.46,108.75,107.96,109.34,108.24,107.49,107.75
        소형승용차,104.13,104.13,104.13,104.13,104.13,105.0,105.0,105.0,105.0,105.0,105.0,103.41,103.41
        중형승용차,104.97,104.97,104.97,104.97,104.82,104.6,104.6,104.6,104.6,105.61,105.82,104.38,104.43
        대형승용차,109.2,109.2,109.2,109.2,109.5,109.5,111.93,111.93,111.93,111.69,111.8,110.17,110.17
        경승용차,103.32,103.32,103.32,103.32,104.08,104.08,104.08,104.08,104.08,105.55,105.55,105.55,105.55
        다목적승용차,109.9,109.9,109.9,109.9,109.9,109.75,109.75,110.77,110.77,112.24,112.3,110.79,110.79
        수입승용차,111.14,110.31,111.72,111.52,111.08,109.36,108.08,108.13,105.88,108.69,105.16,105.17,105.6
        전기동력차,103.8,104.36,104.34,104.17,104.4,104.1,104.48,104.51,104.2,104.39,104.42,104.15,104.69
    개인운송장비 운영,116.53,117.67,119.39,120.79,117.26,121.47,121.37,117.21,115.02,116.71,118.3,121.06,122.22
      개인운송장비 연료 및 윤활유,120.48,122.4,124.48,124.96,121.07,125.33,125.25,119.78,116.93,120.02,122.06,126.63,128.62
        휘발유,116.11,118.16,121.03,122.37,118.8,122.83,122.39,116.9,114.23,117.18,118.68,123.03,124.51
        경유,126.57,128.65,129.74,128.79,123.65,128.82,128.54,122.07,118.36,121.92,124.62,130.37,133.26
        자동차용LPG,122.66,122.62,122.64,122.64,122.57,124.1,128.31,128.5,128.49,130.13,133.72,133.81,135.64
      개인운송장비 소모품 및 유지·수리,116.09,115.59,115.82,116.47,115.92,115.92,116.42,116.2,116.13,117.28,117.41,116.76,117.8
        자동차용품,114.92,108.96,109.59,115.26,108.81,107.61,111.32,107.61,106.27,115.61,115.61,106.5,115.57
        블랙박스,102.43,102.27,101.63,101.62,101.5,101.41,102.96,102.86,102.78,102.74,102.74,102.79,102.94
        자동차타이어,120.55,120.37,120.29,120.06,120.2,120.16,120.22,120.17,120.09,120.13,119.8,119.88,119.8
        자동차수리비,113.73,113.74,113.91,114.0,114.04,114.16,114.28,114.43,114.48,114.78,114.9,115.09,115.27
        엔진오일교체료,128.88,129.26,129.61,130.12,130.13,130.43,130.57,130.93,130.98,131.53,132.24,132.59,132.78
        세차료,127.01,127.94,128.84,129.45,129.93,130.18,130.44,130.75,131.03,131.6,131.76,132.71,133.66
      개인운송장비 관련 기타 서비스,93.31,93.04,94.93,101.38,95.77,104.92,103.95,100.67,98.77,94.96,96.35,95.46,93.07
        자동차학원비,108.7,108.81,110.13,110.43,112.12,112.15,112.44,112.64,112.74,113.56,113.65,114.01,114.26
        주차료,107.47,107.47,108.59,108.71,108.99,108.85,108.85,109.23,109.38,109.38,109.38,109.56,109.88
        도로통행료,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28,97.28
        승용차임차료,78.11,77.45,81.16,95.75,82.66,103.55,101.27,93.6,89.23,80.38,83.51,81.31,75.69
        대리운전이용료,133.34,133.71,133.42,133.42,133.02,133.02,133.29,133.36,133.53,133.83,133.9,134.4,134.84
        자동차검사료,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
    운송 서비스,112.48,111.75,111.98,112.2,112.35,112.73,113.82,112.52,112.36,111.93,112.6,113.26,112.93
      철도 여객수송,106.14,106.14,106.14,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9
        열차료,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
        도시철도료,110.88,110.88,110.88,112.23,112.23,112.23,112.23,112.23,112.23,112.23,112.23,112.23,112.23
      도로 여객수송,114.78,114.78,114.78,114.78,114.78,114.78,114.93,114.91,115.1,115.1,115.37,115.31,115.23
        시내버스료,112.23,112.23,112.23,112.23,112.23,112.23,112.23,112.19,112.5,112.5,112.94,112.84,112.7
        시외버스료,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18,110.18
        택시료,121.66,121.66,121.66,121.66,121.66,121.68,122.21,122.21,122.21,122.21,122.21,122.21,122.21
      항공 및 수상여객운송,119.11,114.71,116.01,116.43,117.29,119.62,125.93,117.58,115.12,112.02,115.21,119.1,116.86
        국내항공료,115.41,107.76,106.74,109.7,109.98,108.92,123.93,111.14,107.03,102.28,103.81,107.28,108.19
        국제항공료,121.35,117.91,120.2,119.62,120.75,124.65,128.03,120.76,118.88,116.35,120.39,124.69,121.07
        여객선료,116.58,115.71,116.07,116.77,117.0,116.36,117.49,116.48,114.91,112.28,113.1,114.27,113.73
        자동차보험료,94.54,94.54,94.54,94.54,94.54,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45
