CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,68,65,69,74,70,68,71,74,72,72,60,55,51,55,59,69,82,93,96,93,87,91,98,95,90,89,87,86,89,84,77,70,64,67,62,62,65,70,70,74,69,69,67,63,68,72,73,74,78,66,38,31,36,44,49,54,42,58,72,56,56,63,72,77,85,94,82,77,78,80,81,79,76,75,71,74,74,60,43,47,50,47,46,51,51,48,52,58,64,69,75,72,66,64,62,67,69,70,68,68,67,71,77,73,71,73,70,52,51,55
    남자,67,64,69,73,69,68,69,73,72,71,59,54,51,55,58,69,82,92,95,93,86,91,98,95,89,88,87,86,88,82,76,68,64,67,61,62,64,70,69,73,68,67,66,61,67,71,72,73,77,65,38,31,36,44,49,55,43,59,73,58,58,64,74,79,87,95,84,79,79,81,83,80,77,75,71,73,74,59,43,47,50,47,46,52,52,48,52,58,65,70,76,73,67,64,64,68,71,72,69,70,68,72,78,74,72,74,71,53,52,56
    여자,73,67,71,76,74,72,76,76,75,74,61,58,51,58,60,69,82,97,99,94,92,94,99,97,92,92,89,90,94,90,83,76,64,69,65,65,68,71,72,76,75,75,74,69,73,77,78,78,81,69,38,32,35,45,49,50,40,54,68,52,51,59,66,72,79,88,75,72,73,77,76,76,73,75,70,75,73,63,44,47,49,46,45,50,50,46,50,58,62,65,70,68,64,63,58,62,62,64,65,65,64,69,73,70,69,68,67,48,48,53
    40세미만,67,65,72,73,71,69,70,73,73,73,60,58,55,59,63,73,85,99,101,97,94,96,104,98,93,94,93,95,97,95,86,77,74,74,70,72,74,79,79,85,79,79,78,71,79,81,83,82,84,76,42,37,41,48,53,59,44,63,75,57,60,70,76,82,88,96,81,82,81,83,84,83,81,79,75,79,76,64,47,51,54,46,49,57,55,54,56,63,65,71,74,74,70,69,64,71,73,75,74,72,72,76,79,72,74,77,74,53,58,65
    40-50세,67,64,70,74,68,68,71,73,72,71,61,55,51,56,59,70,82,94,99,97,90,94,101,96,93,91,90,87,93,87,80,72,68,71,67,66,71,76,76,80,78,73,72,69,73,79,80,81,84,71,39,32,36,45,50,57,47,64,78,59,61,67,80,83,90,98,86,80,82,84,86,83,78,78,75,78,80,63,41,46,46,44,40,44,45,43,43,51,57,61,64,63,58,56,55,58,61,63,61,63,61,66,73,67,65,66,63,45,48,53
    50-60세,67,64,67,73,68,68,70,75,72,70,59,51,47,52,56,66,82,94,95,93,84,91,96,94,88,87,85,85,87,78,71,64,60,63,57,57,60,64,65,67,63,64,60,57,62,66,68,68,75,61,36,26,31,38,47,52,41,57,71,57,54,61,71,77,85,94,83,76,78,80,82,81,76,73,69,72,71,56,38,43,45,46,41,47,47,43,47,54,60,65,73,69,63,60,58,62,64,66,63,65,63,65,71,70,65,68,65,45,43,46
    60-70세,67,65,67,74,69,67,70,74,71,72,58,52,49,52,55,65,79,87,89,88,78,84,93,94,84,81,78,76,76,71,67,61,55,61,56,57,57,63,64,67,61,61,61,57,61,64,65,69,72,59,36,27,32,42,45,50,36,51,68,55,53,58,68,75,85,93,84,77,73,78,79,76,73,72,68,71,73,59,45,47,52,49,49,54,55,48,57,61,72,73,82,79,72,66,68,73,74,73,71,71,70,75,83,78,77,77,73,58,53,54
    70세이상,75,67,68,73,76,72,74,77,74,74,59,56,51,52,56,61,75,81,81,80,75,81,88,88,79,79,79,77,76,72,69,64,57,61,56,55,57,63,58,59,57,56,59,52,60,62,62,63,69,57,37,30,37,48,49,50,39,49,61,52,48,51,55,63,70,80,74,66,67,70,68,67,65,66,61,60,63,58,45,48,55,51,54,58,58,53,58,62,71,76,86,79,73,72,69,73,78,75,74,72,72,77,82,82,77,79,79,63,55,56
    봉급생활자,67,65,70,75,70,68,71,75,74,72,61,56,53,57,60,70,84,96,99,96,90,95,102,97,93,93,90,90,93,89,81,74,67,69,65,65,69,74,74,78,73,72,70,66,70,75,77,77,82,70,40,32,36,45,50,56,43,62,75,58,60,67,76,81,89,97,84,80,81,83,84,82,79,77,73,77,76,61,41,46,48,45,44,50,50,47,50,57,63,68,74,71,65,63,61,66,68,70,68,68,67,70,77,71,70,72,70,50,51,55
    자영업자,64,62,66,69,65,66,66,70,68,72,57,51,46,51,53,66,80,88,91,88,81,85,90,88,84,80,81,79,81,72,68,60,59,62,56,59,58,63,63,66,64,63,61,57,65,67,68,69,73,58,34,25,32,40,47,52,41,52,68,53,52,55,67,74,80,91,81,75,73,78,79,78,75,72,68,73,75,61,49,51,55,52,50,55,50,48,54,57,64,68,74,72,68,64,62,65,71,68,63,65,65,69,74,72,68,74,67,50,49,52
