CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,77,78,79,82,74,75,76,83,80,79,68,68,69,70,76,86,113,121,110,109,101,99,104,102,93,93,94,94,96,93,87,85,78,79,75,74,78,79,79,83,80,79,77,74,79,81,84,84,88,81,64,58,63,65,65,72,60,75,82,74,80,80,84,86,92,103,87,86,88,94,98,89,92,93,94,94,95,86,69,72,76,70,66,70,66,69,70,74,78,81,85,84,77,78,77,81,84,83,84,85,83,85,86,83,83,83,79,65,69,74
    남자,76,78,78,82,73,75,75,82,80,79,68,67,68,69,75,85,112,121,110,109,100,98,103,101,93,93,94,94,95,92,86,84,78,79,74,74,77,79,78,83,78,77,76,73,77,80,83,83,88,81,64,57,62,64,65,72,61,75,84,75,82,81,85,88,94,104,88,87,88,94,98,90,93,94,94,95,94,87,69,72,76,70,64,70,65,69,70,74,79,82,85,84,78,79,78,81,85,85,85,86,84,85,88,84,84,84,79,65,70,74
    여자,81,79,81,81,77,79,81,86,82,82,72,74,73,76,81,88,115,120,112,110,106,102,107,102,97,97,94,98,100,95,91,90,79,81,79,77,79,81,84,85,87,84,83,80,83,83,87,86,88,84,66,62,67,66,63,70,57,72,77,70,75,77,81,82,86,100,83,84,86,94,95,89,91,91,94,92,96,85,71,70,75,70,69,71,67,69,70,75,76,79,83,82,76,76,75,80,80,79,81,82,79,82,82,81,79,81,77,66,69,73
    40세미만,70,75,75,76,68,73,73,78,79,77,67,70,73,73,80,86,121,121,110,112,101,103,107,104,100,96,98,101,100,97,92,88,83,81,79,80,79,80,83,89,84,84,84,83,84,85,87,85,88,86,68,67,69,67,67,75,65,78,81,75,83,82,85,89,91,102,84,87,90,91,97,88,93,92,95,95,94,86,73,75,79,69,69,74,65,71,71,76,77,81,82,82,76,79,77,81,83,82,82,87,83,85,86,82,82,84,79,68,76,80
    40-50세,75,77,79,82,72,73,76,82,78,79,71,68,68,69,79,86,115,122,113,109,103,99,106,103,94,94,96,96,100,96,91,87,80,84,79,80,82,85,85,87,85,83,83,80,85,85,90,87,92,85,69,63,65,67,68,75,63,78,86,77,83,84,89,89,96,106,88,88,91,97,100,93,95,96,93,96,96,84,62,64,68,66,60,63,59,64,62,68,71,76,78,76,70,72,70,73,75,77,77,78,75,79,81,77,79,78,72,60,69,71
    50-60세,78,75,78,81,74,77,76,84,81,78,67,66,66,67,73,85,109,120,108,107,99,98,103,100,91,95,91,92,94,93,84,83,76,74,70,67,72,74,75,79,75,74,73,69,74,77,81,81,85,80,62,54,60,60,61,69,59,76,83,75,82,82,86,86,92,105,90,86,88,95,100,90,92,92,91,90,91,82,64,65,68,68,58,65,62,63,66,69,74,77,81,82,74,74,73,76,81,79,81,82,79,82,83,79,78,79,74,62,62,69
    60-70세,82,82,81,86,78,75,77,86,82,81,69,66,67,68,70,86,105,123,113,107,98,93,99,97,87,87,87,87,88,83,78,79,74,78,71,71,76,78,75,81,78,75,70,68,71,79,81,82,88,76,59,52,60,64,65,69,58,71,83,71,78,79,82,86,94,104,88,88,87,97,98,89,93,94,97,96,98,92,73,77,81,74,69,75,72,74,74,79,85,87,93,91,82,82,83,87,90,90,90,89,87,88,94,90,89,87,83,65,69,76
    70세이상,88,90,90,94,85,84,87,90,86,85,71,69,70,74,71,85,102,120,107,107,100,94,100,101,89,91,90,89,88,83,81,81,76,78,74,71,79,78,75,77,76,73,71,64,73,77,76,79,85,76,59,45,59,62,61,67,53,64,73,67,70,69,72,77,83,96,84,79,78,90,90,86,87,91,94,96,98,93,81,85,90,80,78,78,77,76,80,83,88,91,96,93,90,88,88,94,97,95,94,94,93,94,92,93,92,91,92,72,72,74
    봉급생활자,73,76,77,81,71,73,74,81,79,77,68,69,69,70,78,85,117,121,111,110,102,101,107,103,95,95,95,96,98,96,91,88,81,80,76,76,79,81,82,86,82,80,80,77,81,82,86,85,90,84,66,61,66,66,66,73,63,77,84,77,83,84,88,89,94,106,88,88,91,95,100,91,94,95,93,95,95,85,66,69,74,67,62,68,63,67,67,72,76,79,82,81,75,76,74,77,81,80,81,84,81,83,85,80,81,82,76,63,69,73
    자영업자,79,80,78,80,76,79,78,84,82,82,69,66,69,70,74,89,108,122,111,107,98,96,101,98,92,90,90,93,93,89,79,76,73,75,74,74,75,77,75,78,76,77,74,72,75,81,83,84,87,77,62,53,57,62,62,68,57,70,82,69,78,76,82,86,89,103,87,84,84,93,97,88,91,91,96,94,92,89,71,76,78,77,72,72,68,70,75,77,82,83,86,85,79,78,77,83,89,86,85,85,83,84,86,87,86,84,81,66,67,72
