CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,93,93,94,93,92,93,93,94,94,94,92,92,91,93,93,93,95,97,97,97,95,96,98,96,96,96,96,96,96,95,95,94,94,93,91,93,95,94,93,97,95,95,93,93,94,94,94,95,97,96,90,87,88,91,91,92,89,92,95,93,94,94,95,97,97,98,97,96,96,97,97,97,97,97,97,97,95,93,88,90,92,90,91,91,91,91,93,95,94,95,97,95,95,94,94,95,96,96,97,96,95,97,96,96,95,99,97,94,95,97
    남자,92,92,94,94,92,92,93,94,94,94,92,92,92,93,93,93,95,97,97,97,95,97,98,96,96,97,96,95,95,94,94,93,93,93,90,93,94,93,93,96,94,94,92,92,93,93,94,94,96,94,89,86,87,90,90,91,88,91,95,92,94,94,95,97,97,97,97,96,96,96,96,97,97,97,96,97,95,92,87,90,91,90,90,90,91,91,92,94,94,94,96,95,95,94,94,94,96,96,96,96,95,97,96,95,95,98,97,94,95,96
    여자,96,94,95,91,92,93,92,95,95,95,91,91,91,92,92,94,96,97,96,96,94,96,96,97,98,95,95,97,98,99,99,97,95,95,94,94,99,97,96,99,98,99,98,96,99,98,97,99,101,100,94,91,93,96,95,94,94,95,97,95,95,95,96,96,98,100,98,96,98,97,98,96,98,100,98,99,98,93,92,91,96,90,92,92,90,93,95,97,95,97,98,96,96,96,95,97,97,96,97,96,95,97,96,97,96,101,99,97,97,97
    40세미만,97,99,99,96,93,95,96,98,99,97,96,97,98,99,99,96,96,100,100,101,97,100,103,102,102,102,101,100,102,100,104,102,103,102,100,105,105,104,103,105,102,103,103,102,106,102,100,103,106,104,101,100,99,101,99,98,99,102,104,101,104,105,105,106,105,105,106,106,107,102,103,105,105,106,104,104,102,99,101,103,101,92,103,103,102,104,105,106,105,107,108,106,108,107,105,107,106,107,108,109,106,107,107,108,108,110,109,106,107,110
    40-50세,92,92,94,94,92,93,93,94,94,95,91,92,91,93,93,94,97,98,98,98,96,96,96,95,96,95,95,97,95,97,95,94,96,97,94,94,99,97,94,99,100,98,96,97,97,97,99,98,102,100,96,92,91,95,95,96,93,94,98,96,96,98,98,102,101,100,100,99,99,99,100,99,100,98,98,100,99,93,89,91,92,90,90,89,89,90,95,93,94,93,94,92,92,91,91,91,93,93,94,93,90,97,93,94,92,95,95,94,93,93
    50-60세,92,90,92,93,93,93,94,93,94,93,91,90,89,90,92,95,95,96,96,97,96,97,99,96,97,95,94,95,94,93,92,90,91,88,87,90,91,90,91,95,93,94,89,88,91,92,93,92,93,92,86,81,83,86,88,88,86,90,94,90,92,92,93,94,95,97,93,94,94,95,97,96,96,96,96,96,94,91,85,85,90,89,87,87,88,88,88,93,91,93,94,93,93,94,94,94,94,96,96,93,94,95,94,92,92,97,95,91,93,95
    60-70세,89,90,90,91,93,90,91,92,92,93,89,89,87,87,89,89,95,96,95,95,93,93,95,94,93,94,93,93,93,94,90,88,87,87,86,85,87,87,86,90,87,89,86,86,87,87,88,91,91,89,80,78,83,85,84,89,83,85,90,87,87,87,89,90,92,93,92,91,90,93,92,91,91,92,92,92,92,91,79,83,86,88,85,87,86,86,85,89,89,88,91,92,89,89,89,90,93,90,90,91,92,91,93,90,92,93,92,87,90,92
    70세이상,86,87,88,86,88,88,87,87,86,89,87,83,83,85,84,86,90,91,90,87,88,88,90,88,85,89,89,84,87,83,84,86,85,87,83,84,87,85,87,90,88,84,85,85,84,86,84,86,86,84,78,74,78,80,81,81,79,80,85,81,85,80,82,83,84,87,86,85,83,89,84,84,85,87,88,86,83,83,81,83,86,90,85,84,85,83,85,87,89,89,92,90,91,86,87,89,90,90,88,90,88,90,89,91,90,92,93,89,89,88
    봉급생활자,95,94,96,95,92,94,95,96,96,96,93,94,94,96,96,96,97,99,99,99,96,99,101,99,99,100,98,98,98,97,98,97,97,97,96,98,100,98,98,102,99,99,98,97,99,98,98,99,102,101,97,94,95,97,96,96,95,97,100,98,99,100,101,102,102,102,102,101,101,100,101,101,101,102,101,101,100,96,92,95,95,92,94,94,95,96,98,99,98,98,100,99,98,98,97,97,99,99,100,100,99,101,100,99,99,102,101,98,100,101
    자영업자,88,91,89,88,91,89,89,89,92,90,87,87,85,86,88,90,96,96,96,98,96,94,95,93,95,92,96,96,93,93,92,89,92,89,85,89,89,90,88,93,93,92,90,87,90,91,89,91,92,87,78,72,75,82,83,86,79,84,90,82,89,87,89,92,92,94,92,91,91,93,92,92,93,90,91,92,92,90,80,82,87,86,84,84,83,80,84,87,85,89,89,87,90,87,88,90,89,90,89,87,83,90,90,90,88,91,91,86,84,87
