CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,96,96,97,98,96,96,98,98,98,98,93,93,91,93,95,98,103,103,104,102,102,102,104,103,102,102,102,102,102,99,97,97,93,91,90,91,91,92,94,95,92,92,92,89,92,93,95,94,97,93,83,79,85,87,87,89,85,91,94,89,93,94,95,96,97,99,96,96,96,98,97,96,96,96,95,94,93,88,79,83,86,84,82,85,85,83,87,90,92,93,94,95,92,90,90,92,94,94,93,94,92,94,95,94,94,96,94,86,89,93
    남자,96,96,96,98,96,96,97,98,98,98,93,92,91,93,95,97,103,103,103,102,101,102,103,102,102,101,101,100,101,98,96,96,93,90,89,90,90,92,93,95,91,91,91,88,91,93,94,93,96,92,82,78,84,86,87,88,85,91,94,90,93,94,95,97,97,100,95,96,96,98,97,96,96,95,95,93,93,88,78,83,86,84,82,85,86,84,87,90,92,93,95,95,93,90,90,93,94,94,94,95,93,95,96,94,94,96,94,86,89,93
    여자,99,99,101,98,98,99,101,101,100,100,95,95,93,95,97,99,104,104,106,102,104,105,105,107,102,104,105,107,105,103,101,101,95,94,93,91,93,95,99,98,95,97,96,94,97,96,99,98,100,98,86,82,90,91,89,91,86,92,92,88,93,93,95,93,96,99,97,94,96,97,97,97,98,97,94,96,95,90,82,83,87,83,82,86,84,83,87,90,92,92,92,92,90,89,90,91,93,92,91,93,91,91,94,93,94,95,95,87,88,93
    40세미만,95,99,99,96,96,98,98,101,99,99,95,98,94,98,100,99,106,106,108,105,104,107,107,107,103,105,106,105,105,103,102,102,96,95,93,95,94,97,101,99,96,97,97,96,98,98,102,98,100,98,87,87,91,92,91,92,90,96,96,94,98,99,101,99,102,102,101,102,100,101,100,101,102,98,98,99,96,93,88,90,92,84,87,92,92,91,92,96,96,98,99,100,97,97,95,97,98,99,101,102,99,100,100,101,99,101,99,93,97,100
    40-50세,98,97,98,99,93,97,97,97,98,99,94,94,92,93,96,99,105,103,103,104,103,102,104,103,103,101,102,102,103,100,98,98,97,95,94,92,96,95,96,99,95,94,96,93,96,96,98,96,102,97,86,82,88,90,90,91,87,93,95,91,95,96,96,98,98,101,97,97,96,98,99,98,99,99,95,97,97,89,79,81,84,82,80,81,82,80,83,88,90,91,91,90,88,85,87,87,90,90,89,91,87,91,92,91,92,91,90,82,86,90
    50-60세,96,94,97,99,98,96,100,97,98,100,94,92,91,93,92,98,102,102,104,101,104,103,103,104,104,103,102,103,101,97,96,96,93,89,87,90,87,90,90,93,91,93,88,86,90,92,95,94,96,91,82,77,82,84,86,88,85,90,97,88,94,94,96,96,97,100,96,96,96,98,99,97,97,96,95,95,93,88,77,80,86,83,82,84,83,83,88,88,91,91,94,93,90,89,88,93,93,93,92,93,91,92,94,89,92,95,93,84,86,90
    60-70세,97,98,97,98,99,94,98,99,98,96,91,89,88,90,93,96,101,102,102,102,98,99,101,102,101,98,98,98,100,97,92,92,87,86,87,86,89,90,92,92,87,88,89,84,88,89,88,90,93,88,81,73,81,85,83,85,81,89,91,88,90,89,92,95,95,97,93,92,92,96,93,92,92,92,92,90,91,85,72,80,82,84,80,85,86,79,86,90,93,93,94,96,93,90,89,92,93,94,92,92,92,92,96,95,93,95,92,84,87,93
    70세이상,93,92,91,94,96,94,95,95,94,95,87,85,82,84,86,90,94,96,94,93,94,94,98,94,92,95,93,92,93,90,88,88,88,88,86,84,86,88,88,88,83,84,84,81,84,85,86,89,86,84,72,68,77,82,81,82,75,81,86,80,84,81,83,87,87,92,87,86,89,91,88,88,86,87,89,84,85,83,73,82,84,86,80,83,82,82,84,89,89,90,95,94,91,88,89,91,96,91,91,92,91,94,95,94,93,95,95,86,83,89
    봉급생활자,96,96,97,99,95,96,98,99,98,99,94,94,93,94,97,99,104,105,106,104,103,104,105,105,103,103,103,103,103,100,99,99,94,93,92,92,93,95,97,99,96,95,95,92,95,95,98,96,100,96,87,84,88,90,90,91,89,94,96,93,98,98,98,99,100,101,98,99,98,99,99,99,100,98,97,97,95,90,79,83,86,84,82,85,86,84,88,92,93,93,95,95,93,91,90,93,94,94,94,95,92,95,96,95,95,95,95,87,90,94
    자영업자,95,95,96,94,95,94,94,94,97,97,93,90,90,92,93,96,104,103,104,103,102,101,104,102,105,102,101,102,101,97,93,92,95,88,87,89,91,91,91,93,89,91,89,86,90,92,92,93,97,89,75,68,79,81,84,86,79,89,91,82,89,90,94,95,97,99,95,93,95,99,95,94,95,96,93,92,95,92,78,85,86,83,84,86,83,82,87,88,93,94,93,94,94,90,90,92,93,94,93,92,92,95,96,93,91,97,93,82,86,89
    기타,98,98,99,98,100,98,101,98,99,99,92,92,86,89,92,95,98,98,97,97,97,97,98,98,95,95,96,97,97,96,94,93,89,87,86,85,85,85,87,87,82,85,85,82,87,87,88,89,87,87,76,70,79,82,81,82,77,83,88,82,82,82,85,86,87,92,88,87,87,90,89,87,87,86,87,85,83,79,77,81,85,84,81,85,84,81,82,86,89,90,93,94,89,87,89,91,93,90,91,93,93,91,93,93,92,95,92,85,84,92
    100만원미만,96,97,95,95,95,95,96,93,95,92,87,85,77,87,87,94,95,94,92,91,92,95,98,90,90,90,91,93,91,92,89,91,95,88,84,86,87,85,87,89,80,82,87,78,86,85,88,88,85,87,72,64,77,82,73,79,68,76,80,73,73,75,77,79,78,83,81,82,81,83,81,78,81,79,83,82,76,76,76,76,83,82,81,83,84,79,77,81,85,84,90,92,85,85,86,89,97,90,90,96,93,91,91,91,93,95,90,87,82,89
    100-200만원,93,95,95,94,92,95,99,96,95,96,85,88,85,82,90,88,95,99,98,96,93,95,95,100,94,94,97,100,95,92,90,85,88,87,88,89,85,88,91,90,87,89,89,87,86,88,89,90,90,85,75,69,78,80,83,81,80,82,87,78,85,81,84,86,89,90,85,86,86,90,88,84,86,88,90,84,86,83,75,80,83,81,78,85,84,81,86,84,83,86,86,86,85,85,85,84,87,86,87,86,87,86,86,85,88,89,87,77,80,88
    200-300만원,91,93,93,95,91,90,96,94,93,96,90,89,89,91,92,93,103,96,101,100,99,101,101,101,98,98,99,97,102,98,96,96,89,89,86,88,89,89,92,92,87,89,90,85,90,93,92,92,94,88,79,76,81,84,84,83,81,89,87,85,89,91,90,93,94,97,93,90,92,95,91,92,93,90,88,90,90,83,80,83,85,84,81,83,85,84,90,92,94,96,95,94,93,91,89,92,93,92,92,92,91,93,96,93,92,94,95,83,88,92
    300-400만원,94,97,94,96,96,96,93,97,100,95,96,94,91,92,94,98,100,104,103,101,102,101,105,102,102,102,100,103,101,99,98,97,90,86,88,86,87,91,90,94,90,90,91,88,90,91,93,92,93,91,81,77,83,86,85,85,82,89,93,89,92,93,93,91,95,96,92,93,95,95,93,94,95,92,93,94,93,84,75,82,84,84,80,82,83,79,84,90,90,91,95,96,94,92,90,92,93,95,94,93,91,95,96,95,93,96,92,86,86,92
    400-500만원,101,98,102,99,100,100,98,101,100,102,94,96,93,97,100,103,107,109,108,107,105,107,105,106,104,105,104,102,102,100,99,101,94,95,91,95,95,94,97,98,96,94,92,91,96,94,98,95,100,96,86,82,88,88,89,94,88,95,99,92,97,97,101,101,99,103,98,100,97,100,100,99,97,102,97,93,94,88,78,80,85,82,83,84,84,81,83,86,90,92,92,94,88,85,88,90,92,89,92,93,90,90,93,93,91,93,93,84,87,93
