CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,100,99,100,101,100,100,100,99,99,98,100,100,99,99,99,99,98,98,99,98,98,96,98,98,98,98,97,97,96,98,98,99,99,100,102,101,99,99,99,98,97,98,98,98,99,99,98,99,98,98,99,102,100,99,100,99,101,100,99,101,100,99,99,101,98,99,100,99,99,100,99,100,99,100,100,100,99,102,102,101,101,102,102,100,102,100,100,98,99,99,98,99,99,99,99,98,97,98,98,97,98,97,98,98,97,98,98,99,98,97
    남자,100,100,100,100,100,100,100,100,99,98,100,99,99,98,99,98,98,98,99,98,98,97,98,98,98,99,98,98,97,98,99,100,100,101,102,102,100,100,99,98,98,98,99,98,99,99,98,99,98,98,99,103,100,100,100,99,101,101,100,101,100,99,99,100,98,99,99,99,98,99,99,98,98,100,99,99,99,101,102,101,100,102,101,100,102,100,100,98,99,98,97,98,98,99,99,98,98,99,98,97,98,97,98,98,97,97,97,99,97,98
    여자,99,96,97,103,100,98,100,97,100,97,98,102,99,100,101,100,99,98,100,97,100,93,94,97,95,93,95,94,95,94,94,95,98,98,101,97,98,98,100,96,95,99,97,98,99,99,99,98,99,96,97,99,99,98,102,101,101,100,98,100,100,101,100,103,100,100,103,102,99,102,99,104,101,102,101,102,99,103,102,100,102,102,105,102,102,102,100,98,99,99,99,100,100,100,99,99,97,96,98,97,98,99,99,100,98,100,98,99,99,97
    40세미만,100,99,100,101,101,100,99,98,102,96,101,100,95,95,99,97,100,96,99,97,98,92,96,95,94,98,96,96,94,95,96,98,98,101,100,100,99,97,98,96,95,99,98,98,99,99,99,98,98,96,97,98,98,99,102,100,103,100,99,101,100,97,98,101,99,101,99,98,97,101,98,100,98,100,99,99,97,101,105,102,105,103,105,102,102,100,100,98,98,101,101,98,99,100,97,99,97,95,98,97,98,96,98,99,95,96,97,97,96,95
    40-50세,100,101,100,103,102,102,102,102,99,100,102,101,102,100,99,100,98,99,100,100,99,98,101,101,101,100,99,98,98,98,99,100,101,100,103,101,99,101,98,98,97,97,96,99,97,99,98,100,97,98,98,100,99,96,99,99,100,98,98,99,101,97,99,99,97,99,102,99,99,100,99,98,99,99,99,98,100,103,101,100,100,103,103,103,104,104,101,101,102,99,99,101,99,102,100,101,101,102,100,101,101,101,101,101,100,102,102,105,102,102
    50-60세,101,99,100,101,97,98,101,100,98,98,99,100,99,101,100,100,98,100,99,98,99,98,96,98,98,97,97,97,97,100,99,99,100,102,103,102,100,100,101,99,97,100,99,98,100,99,97,99,99,98,100,105,102,102,100,98,102,101,99,99,97,98,97,99,97,98,98,98,97,99,99,99,98,100,99,99,99,100,102,100,101,102,101,98,100,100,100,96,98,98,96,99,99,96,100,97,96,98,96,95,98,97,96,97,97,97,97,98,98,98
    60-70세,99,101,101,99,97,98,96,96,96,97,97,99,98,99,99,98,96,95,97,95,98,97,95,96,95,96,95,96,96,97,96,98,98,98,99,99,98,98,100,98,97,97,100,100,98,97,99,97,97,97,99,102,100,101,100,98,101,101,98,101,100,102,100,101,99,97,99,100,99,98,98,99,99,100,101,98,101,101,101,100,96,101,99,98,102,97,98,97,97,96,96,94,96,98,98,97,95,96,97,96,95,96,97,96,96,97,94,95,95,93
    70세이상,97,98,97,96,98,99,99,99,99,99,100,97,102,100,101,98,99,101,99,99,98,100,99,100,99,98,97,99,99,101,101,99,99,99,101,100,101,100,100,98,101,99,101,98,100,100,97,100,101,101,102,106,102,99,102,101,103,104,103,105,104,104,105,104,101,102,101,103,104,103,104,104,101,104,103,105,101,105,101,101,99,99,101,100,103,98,100,97,99,98,95,98,99,98,99,98,97,98,99,95,98,98,97,97,98,98,97,97,98,99
    봉급생활자,99,99,99,100,100,99,100,98,99,97,99,98,97,96,98,98,98,97,98,97,96,94,97,96,96,98,96,97,95,97,96,97,99,100,101,100,98,99,98,96,96,97,97,98,98,98,98,98,97,96,96,99,97,97,99,98,99,98,97,99,98,96,97,99,97,99,98,97,96,98,98,97,96,98,98,96,97,100,102,100,102,101,102,100,101,100,98,98,98,98,97,98,98,99,98,98,97,97,97,97,98,97,97,98,96,97,97,98,97,97
    자영업자,105,101,103,104,100,102,103,105,102,101,104,105,105,103,104,100,97,100,101,99,100,98,99,100,100,98,100,98,99,100,101,102,101,102,104,101,101,101,103,100,100,100,102,98,98,99,99,100,101,102,108,110,108,107,105,102,108,106,104,105,103,104,104,105,102,101,104,103,102,104,102,101,103,106,102,105,104,104,105,105,100,104,103,103,103,102,106,103,102,98,98,101,97,99,102,100,99,100,99,97,102,99,101,100,99,101,98,102,100,101
