계정항목,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
한국,110.26,110.73,110.44,110.65,110.72,110.7,110.49,110.77,111.43,111.59,111.42,111.54,112.73,113.04,112.96,112.82,112.94,112.7,112.88,113.53,113.66,113.55,112.71,113.11,113.58,114.45,114.33,114.54,114.6,114.36,114.14,115.15,116.03,115.82,115.0,114.61,114.49,114.98,114.76,115.18,115.37,115.19,114.84,115.11,115.54,115.82,115.18,115.45,115.88,115.96,115.71,115.2,115.13,115.44,115.35,116.0,116.63,115.99,115.88,116.16,116.98,117.61,117.91,118.07,118.15,118.15,118.39,118.96,119.45,119.66,120.26,120.45,121.39,122.05,122.84,123.68,124.46,125.28,125.88,125.77,125.99,126.38,126.28,126.5,127.44,127.74,127.96,128.25,128.66,128.7,128.85,129.99,130.65,131.14,130.46,130.52,131.03,131.73,131.93,132.0,132.1,131.8,132.14,132.61,132.74,132.79,132.45,133.04,133.97,134.39
호주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트리아,110.46,110.57,111.45,111.45,111.79,111.9,111.45,111.23,112.01,112.34,112.45,113.0,112.67,113.0,113.56,113.78,113.89,114.0,113.67,113.56,114.66,114.77,115.0,115.44,114.66,115.0,115.66,115.88,116.1,116.32,116.1,116.1,116.99,117.32,117.54,117.65,116.77,116.77,117.76,117.87,118.09,118.21,117.76,117.87,118.43,118.65,118.87,119.64,119.09,119.21,119.57,119.57,118.85,119.45,119.69,119.45,119.93,120.17,120.29,121.01,120.05,120.65,121.96,121.84,122.2,122.8,123.16,123.28,123.88,124.6,125.43,126.15,126.03,127.59,130.22,130.58,131.66,133.45,134.77,134.77,137.04,138.36,138.72,138.96,140.16,141.47,142.19,143.15,143.39,144.11,144.23,144.7,145.3,145.78,146.14,146.74,146.62,147.34,148.06,148.06,148.18,148.41,148.41,148.06,147.94,148.41,148.89,149.73,151.29,
벨기에,109.37,109.43,110.42,110.62,110.97,111.09,111.22,111.17,110.93,111.25,111.33,111.47,112.27,112.69,112.94,113.14,113.04,112.87,113.2,113.28,113.16,113.48,113.63,113.85,114.18,114.35,114.52,114.86,115.1,115.22,115.66,115.82,115.82,116.6,116.79,116.51,116.45,116.83,117.19,117.25,117.27,117.21,117.3,117.28,116.74,117.16,117.24,117.39,118.09,118.11,117.92,117.92,117.83,117.91,118.17,118.24,117.8,118.04,117.84,117.87,118.39,118.65,118.97,119.37,119.55,119.82,120.85,121.47,121.17,122.95,124.49,124.6,127.38,128.19,128.86,129.29,130.28,131.39,132.47,133.55,134.83,138.03,137.72,137.5,137.63,136.67,137.45,136.53,137.05,136.84,137.95,139.01,138.05,138.52,138.76,139.36,140.04,141.04,141.82,141.14,141.66,141.97,142.98,142.98,142.27,142.96,143.2,143.77,145.76,146.05
브라질,146.1,147.41,148.05,148.95,150.11,150.64,151.42,152.09,152.21,152.6,152.88,153.34,153.92,154.43,154.81,155.03,155.51,155.15,155.53,155.82,156.07,156.73,157.17,157.86,158.31,158.82,158.96,159.31,159.95,161.97,162.5,162.36,163.13,163.87,163.52,163.77,164.29,165.0,166.24,167.18,167.4,167.42,167.74,167.92,167.85,168.02,168.88,170.82,171.18,171.61,171.73,171.2,170.55,170.99,171.6,172.02,173.12,174.61,176.16,178.54,178.98,180.52,182.2,182.77,184.28,185.26,187.04,188.67,190.86,193.24,195.08,196.5,197.56,199.56,202.79,204.94,205.9,207.28,205.87,205.13,204.54,205.74,206.59,207.87,208.97,210.73,212.22,213.52,214.01,213.84,214.09,214.59,215.14,215.66,216.26,217.48,218.39,220.2,220.55,221.39,222.41,222.88,223.72,223.68,224.66,225.92,226.8,227.98,228.35,231.34
캐나다,108.87,109.13,109.82,110.16,110.59,110.85,110.68,110.5,110.59,110.85,110.42,110.25,111.19,111.36,111.53,111.96,112.05,111.96,111.96,112.05,112.31,112.39,112.74,112.31,113.08,113.77,114.11,114.45,114.54,114.71,115.31,115.23,114.8,115.14,114.63,114.54,114.71,115.48,116.26,116.77,117.29,117.03,117.63,117.46,116.94,117.29,117.12,117.12,117.46,117.97,117.29,116.51,116.86,117.8,117.8,117.63,117.54,118.06,118.23,117.97,118.66,119.26,119.86,120.46,121.06,121.41,122.18,122.44,122.7,123.55,123.81,123.64,124.76,126.04,127.85,128.62,130.42,131.28,131.45,131.02,131.11,132.05,132.23,131.45,132.14,132.66,133.34,134.29,134.8,134.97,135.75,136.26,136.09,136.18,136.35,135.92,135.92,136.35,137.21,137.89,138.67,138.58,139.18,138.92,138.32,138.92,138.92,138.41,138.49,139.95
칠레,121.07,121.41,121.87,122.27,122.54,123.1,123.39,123.46,123.75,123.96,124.02,123.77,124.44,124.73,125.21,125.52,125.68,125.19,125.48,125.74,125.55,126.28,126.4,126.58,127.16,127.22,127.48,127.88,128.24,128.37,128.82,129.06,129.49,129.96,129.96,129.83,129.97,130.02,130.64,130.99,131.78,131.84,132.14,132.38,132.4,133.48,133.58,133.73,134.47,135.08,135.53,135.47,135.4,135.31,135.44,135.62,136.49,137.42,137.24,137.7,138.67,138.92,139.44,139.97,140.34,140.46,141.6,142.1,143.78,145.7,146.43,147.57,149.35,149.77,152.56,154.69,156.55,158.0,160.17,162.12,163.51,164.36,165.96,166.44,167.77,167.67,169.49,170.02,170.21,169.95,170.54,170.74,171.89,172.63,173.92,173.0,174.21,175.24,175.89,176.81,177.29,177.12,178.44,178.88,179.04,180.78,181.25,180.89,182.81,183.52
중국,116.19,118.03,117.45,117.22,116.76,116.53,116.76,116.88,117.68,117.57,117.68,117.91,119.17,118.94,118.6,118.6,118.71,118.48,118.37,118.94,119.63,119.75,119.75,120.09,120.9,122.39,121.01,120.78,120.55,120.55,120.9,121.7,122.51,122.74,122.28,122.39,122.97,124.23,123.77,123.89,123.89,123.77,124.23,125.15,126.18,127.33,127.79,127.79,129.63,130.67,129.06,127.91,126.87,126.87,126.41,128.14,128.37,128.02,127.22,128.14,129.34,130.11,129.47,129.09,128.96,128.45,128.83,128.96,128.96,129.86,130.37,129.99,130.63,131.4,131.4,131.91,131.65,131.65,132.29,132.17,132.55,132.68,132.42,132.29,133.32,132.68,132.29,132.04,131.91,131.65,131.91,132.29,132.55,132.42,131.78,131.91,132.17,133.58,132.42,132.29,132.29,131.91,132.55,133.06,133.06,132.81,132.04,132.04,132.81,132.55
체코,107.62,107.72,107.62,108.26,108.05,108.15,108.48,108.37,108.05,108.37,108.8,109.12,109.98,110.41,110.41,110.41,110.63,110.63,111.16,111.06,110.95,111.49,111.59,111.7,112.35,112.35,112.24,112.56,113.1,113.53,113.74,113.85,113.53,113.96,113.85,113.96,115.14,115.36,115.57,115.68,116.43,116.65,117.08,117.18,116.54,117.08,117.4,117.61,119.33,119.66,119.55,119.33,119.76,120.52,121.05,121.05,120.3,120.52,120.52,120.3,121.91,122.13,122.34,122.99,123.2,123.85,125.14,126.0,126.21,127.5,127.72,128.26,133.95,135.67,137.93,140.4,142.88,145.14,147.07,147.72,148.9,146.75,148.47,148.47,157.39,158.36,158.57,158.25,158.68,159.22,159.97,160.29,159.11,159.22,159.33,158.68,161.05,161.48,161.69,162.77,162.77,162.34,163.41,163.84,163.2,163.73,163.84,163.41,165.56,165.88
덴마크,106.49,107.24,107.35,107.45,107.67,107.78,107.67,107.35,107.35,107.56,107.45,107.45,107.45,108.31,108.42,108.63,108.53,108.42,109.28,108.95,109.06,109.17,108.85,108.53,108.2,108.95,108.95,109.49,109.7,109.6,110.45,110.03,109.7,110.03,109.7,109.38,109.6,110.13,110.24,110.56,110.45,110.24,110.88,110.45,110.24,110.67,110.45,110.24,110.35,110.99,110.67,110.56,110.45,110.56,111.42,110.99,110.88,111.1,110.99,110.78,110.99,111.63,111.74,112.17,112.38,112.49,113.24,113.03,113.35,114.42,114.74,114.2,115.81,116.99,117.74,119.67,120.74,121.7,123.1,123.1,124.7,125.99,124.92,124.17,124.7,125.88,125.67,125.99,124.27,124.7,126.95,126.1,125.77,126.1,125.67,125.02,126.2,126.85,126.85,126.95,126.95,126.95,128.35,127.81,127.38,128.13,127.7,127.38,128.13,129.42
