CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,78,75,82,86,80,78,80,85,83,80,64,65,67,70,77,89,111,112,109,104,96,99,108,105,102,98,97,96,101,96,87,82,77,77,72,72,76,80,79,81,75,75,70,66,75,77,81,82,87,76,62,59,67,70,70,75,66,83,91,81,89,90,93,94,99,109,92,90,94,96,96,88,93,91,87,87,84,69,50,58,62,56,54,62,60,60,63,68,74,78,84,80,74,70,72,77,81,80,80,81,79,80,84,81,79,81,74,56,65,73
    남자,77,75,81,85,80,77,79,84,82,80,64,64,65,69,75,88,110,111,109,104,95,98,107,105,101,97,97,95,100,95,85,81,77,76,70,72,75,79,77,80,73,73,67,64,73,76,80,81,87,76,61,58,67,70,71,76,67,84,93,82,91,91,95,96,100,111,94,92,95,97,96,88,93,91,87,86,84,68,50,58,62,56,54,62,60,61,63,67,75,79,86,81,75,71,73,79,84,83,81,83,80,81,85,81,80,82,74,56,65,72
    여자,86,79,85,87,84,82,83,85,86,84,66,72,73,79,85,93,113,115,110,104,101,104,109,106,105,102,98,100,105,102,95,88,76,81,77,72,78,82,84,85,81,82,80,73,81,83,84,85,88,78,65,63,71,71,69,73,62,80,86,77,83,85,87,88,94,105,85,87,91,94,93,86,91,92,88,89,86,71,51,58,63,56,55,63,61,58,63,68,70,74,80,76,70,70,69,73,74,73,76,75,75,77,79,79,76,78,74,56,67,74
    40세미만,77,76,82,83,78,78,79,83,83,79,62,68,72,75,83,92,118,116,112,108,99,103,107,107,106,101,99,101,106,102,96,89,82,82,78,78,81,85,85,91,82,83,79,77,85,85,88,87,90,85,69,73,76,78,76,80,74,88,92,82,93,93,96,96,99,109,89,93,97,94,98,89,94,92,93,95,87,74,55,62,65,56,59,69,63,66,66,70,73,76,80,80,75,74,73,77,79,81,81,81,79,82,83,80,80,83,77,61,74,79
    40-50세,78,74,80,84,78,75,78,82,81,79,67,66,67,71,79,89,112,115,111,105,100,102,110,107,104,100,101,98,106,100,90,85,83,83,77,79,84,87,86,86,82,80,76,73,82,83,88,86,92,81,67,66,71,73,74,80,70,88,97,87,93,96,99,98,101,113,93,93,97,99,98,92,97,96,88,88,85,69,45,53,54,53,46,52,54,53,54,61,65,70,74,70,65,61,64,67,71,71,72,72,71,73,76,73,72,75,66,49,64,69
    50-60세,78,74,83,86,81,79,82,86,84,82,63,64,63,67,73,89,110,112,109,104,96,100,110,105,102,99,98,95,100,95,83,80,75,72,66,65,70,75,73,77,71,70,64,60,70,73,79,81,87,74,61,55,65,66,68,75,64,85,92,82,91,91,95,96,100,111,96,91,96,97,98,89,94,92,85,84,82,64,45,52,57,54,49,56,56,56,58,62,70,74,81,76,69,66,68,73,79,76,76,77,74,76,79,77,75,78,68,53,60,69
    60-70세,80,76,82,91,83,80,78,88,82,82,63,61,61,66,69,86,104,106,106,99,88,92,105,101,99,92,91,88,90,84,77,72,69,72,66,66,70,75,73,75,68,68,62,56,64,71,74,78,83,68,55,49,60,64,67,71,59,76,89,75,87,86,90,94,101,113,93,91,95,98,94,86,91,90,86,85,86,71,54,61,65,56,57,65,64,63,70,74,83,86,96,90,82,75,80,85,87,88,86,87,85,86,93,87,86,86,77,58,64,74
    70세이상,84,79,84,90,89,85,87,89,86,84,67,65,63,69,71,81,96,102,99,95,89,90,101,101,91,92,90,88,90,84,77,74,69,73,68,68,69,71,71,69,65,63,61,52,60,66,69,72,78,66,50,42,57,62,61,62,53,68,80,69,72,74,76,81,86,97,86,78,80,89,84,78,80,82,81,76,79,66,56,65,73,64,62,70,68,65,74,76,85,90,99,90,85,81,80,93,98,92,90,92,89,91,92,93,90,90,90,63,63,72
    봉급생활자,77,74,81,85,78,76,78,84,82,79,63,66,67,71,79,90,115,114,111,106,98,102,110,107,105,100,99,98,104,100,91,86,79,79,74,75,80,84,82,86,79,78,73,69,78,80,84,84,90,80,65,64,70,73,73,78,70,86,94,84,93,94,97,97,102,112,93,93,97,97,98,90,95,94,88,89,85,69,48,56,60,52,51,59,58,59,61,67,72,76,82,77,72,69,69,75,79,78,79,79,77,79,82,78,77,79,72,54,65,73
    자영업자,78,74,82,83,81,78,81,84,81,82,65,64,68,69,73,88,107,111,107,103,96,96,104,101,99,95,94,94,99,90,79,74,73,73,67,67,69,74,74,73,70,72,65,61,69,73,78,78,85,71,59,54,64,66,69,73,62,80,89,77,87,88,91,94,96,110,94,89,92,97,95,87,93,92,88,84,84,73,55,63,67,62,60,65,62,61,66,68,77,80,85,82,77,73,75,78,83,83,79,82,80,81,86,85,82,83,78,57,64,72
