CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,88,87,88,89,89,87,87,90,89,90,87,87,87,89,89,89,91,93,92,92,91,91,93,91,91,91,91,91,92,90,91,89,92,92,90,91,91,93,92,95,93,92,93,89,92,93,93,92,95,94,88,84,86,88,88,90,87,89,92,89,92,92,93,94,95,95,94,94,94,93,94,93,94,94,94,95,92,90,87,88,90,87,88,88,87,89,89,92,91,91,93,93,93,91,91,93,94,93,94,93,92,93,94,92,92,95,94,92,93,93
    남자,88,88,88,89,88,87,87,89,89,90,87,87,88,90,89,90,91,94,92,92,91,91,94,92,92,92,93,91,93,90,91,89,92,92,90,90,91,92,92,94,93,92,93,89,91,93,92,91,94,93,87,84,85,87,87,90,87,89,92,89,92,92,93,94,95,95,94,94,94,93,94,94,94,94,94,95,92,90,86,88,89,87,88,88,88,89,89,92,92,92,93,93,93,91,91,93,94,93,95,93,92,93,95,92,92,95,94,91,93,93
    여자,85,85,89,89,92,86,87,92,92,91,86,87,83,85,87,88,88,89,91,94,91,90,91,84,87,88,83,86,87,89,90,89,92,92,89,91,94,96,95,97,93,94,95,90,95,94,96,95,100,100,92,85,87,91,90,90,87,91,92,88,91,94,93,93,92,93,91,91,94,95,93,91,94,95,94,95,93,90,88,88,93,88,87,88,86,88,89,93,91,90,93,92,92,90,90,91,92,93,93,92,91,92,92,91,92,95,93,92,91,94
    40세미만,89,88,90,91,93,86,87,94,93,93,88,90,89,94,92,93,92,96,92,95,93,91,97,92,95,95,91,92,95,92,98,96,96,97,97,97,97,101,100,101,98,97,101,96,101,100,98,97,101,103,97,96,95,99,94,97,96,97,99,98,101,102,102,102,100,101,97,100,102,98,100,100,100,104,101,102,98,99,93,97,98,88,96,97,96,97,98,100,99,97,99,101,100,99,99,100,104,104,104,104,101,100,102,101,100,105,101,101,104,105
    40-50세,87,88,88,88,87,87,86,88,89,89,86,87,87,89,89,89,92,93,94,93,91,93,93,91,91,92,92,91,92,91,90,88,94,95,94,93,94,96,94,97,97,95,98,91,95,97,99,95,99,97,92,87,89,91,92,94,91,94,95,91,95,96,97,98,100,97,98,97,98,94,96,94,96,95,94,97,93,90,87,89,90,87,86,86,85,87,90,91,91,90,90,90,91,88,88,89,90,90,92,90,88,90,91,88,89,94,92,91,91,91
    50-60세,87,86,87,88,87,86,89,89,88,88,86,85,87,85,88,89,90,93,90,91,90,90,93,91,91,90,93,92,93,90,90,87,90,87,84,88,87,90,91,91,90,90,89,86,90,90,91,92,94,93,85,80,81,84,85,87,82,85,90,87,89,89,91,93,92,94,91,92,92,93,93,93,95,92,97,95,93,91,84,84,87,86,84,85,84,86,85,90,88,90,91,90,89,88,89,91,91,90,93,91,92,91,93,88,90,93,90,88,90,91
    60-70세,87,87,89,88,89,87,88,86,88,91,87,89,87,87,88,87,90,92,92,92,91,90,91,91,92,88,89,89,89,89,86,83,87,88,87,85,87,87,84,89,86,89,87,83,84,84,85,87,87,86,81,76,79,83,82,85,80,84,87,83,85,84,87,87,88,90,89,89,88,90,90,88,87,88,87,87,89,85,83,82,85,85,84,86,86,87,84,90,89,90,91,91,92,90,89,91,91,89,90,89,88,90,92,91,90,92,92,89,89,89
    70세이상,85,87,87,87,89,86,85,89,87,88,86,85,83,82,83,84,84,88,88,86,86,87,88,87,85,85,85,83,86,83,82,82,86,89,84,85,88,86,88,90,88,83,86,86,85,88,87,85,87,84,78,71,77,79,81,81,80,80,83,80,81,80,81,80,86,85,87,82,84,87,82,84,84,86,85,85,84,82,83,83,86,87,88,84,83,83,83,87,89,88,92,91,90,86,87,90,88,90,89,87,87,89,92,89,88,91,91,87,86,87
    봉급생활자,91,90,92,92,91,89,89,93,92,93,89,90,90,93,92,92,94,96,94,95,94,94,97,94,95,96,95,95,96,93,94,94,94,95,93,95,96,98,97,99,97,96,98,93,96,97,97,96,100,100,95,92,92,94,93,96,93,95,97,94,98,99,100,100,100,99,98,98,99,97,99,97,99,100,99,99,96,94,89,92,93,90,91,91,91,93,93,96,95,95,96,96,95,94,94,96,97,97,98,98,96,96,98,95,96,99,97,96,98,98
    자영업자,79,81,81,81,82,82,81,82,82,82,80,82,78,80,82,85,88,89,91,88,87,86,87,88,88,85,85,85,86,85,85,82,92,87,89,87,85,87,85,90,89,86,88,85,88,89,88,90,89,85,75,67,70,77,76,82,74,79,86,80,81,79,83,84,88,88,85,86,85,87,87,88,87,85,88,88,87,87,83,81,82,81,82,80,81,76,79,83,82,82,84,83,87,84,84,86,85,84,85,81,78,85,85,83,84,87,87,82,82,81
    기타,85,83,84,85,87,83,86,85,87,89,85,84,84,84,84,85,84,87,87,86,86,86,88,85,83,82,83,82,86,84,85,79,83,86,82,80,83,83,84,84,82,83,83,81,84,84,83,83,83,83,76,72,78,79,80,80,77,80,81,80,78,80,80,80,83,83,83,83,85,85,82,81,82,82,83,83,83,78,80,80,85,82,82,84,81,83,80,85,86,86,88,88,88,83,86,86,87,87,88,86,86,86,87,87,84,88,85,84,82,85
    100만원미만,80,76,75,73,78,76,75,79,81,82,78,76,76,77,78,77,75,80,83,78,77,83,79,76,79,74,76,74,79,81,80,72,78,81,73,73,78,78,78,77,76,75,77,77,83,79,76,76,82,77,64,59,67,69,66,66,63,70,71,67,67,68,64,69,76,73,74,77,76,74,68,70,68,68,69,75,71,72,74,72,78,81,76,79,68,74,73,76,78,74,82,77,77,75,76,76,78,80,78,76,79,78,80,79,80,83,75,75,77,77
