CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
전체,90,90,91,91,91,91,91,91,91,92,90,89,87,88,89,90,92,94,95,94,94,94,96,94,94,94,95,95,95,94,91,89,90,91,90,89,90,93,91,93,91,91,91,90,92,92,92,92,93,91,83,77,79,84,85,85,81,86,89,86,86,87,89,92,93,93,91,91,91,92,92,91,91,90,90,92,89,87,81,83,85,83,83,83,82,82,83,87,88,89,91,91,89,88,87,88,89,90,89,89,88,90,91,90,90,90,91,87,87,87
    남자,91,90,91,91,91,90,91,91,91,92,89,88,87,88,89,90,91,94,95,94,94,95,96,94,94,94,95,94,95,94,92,89,90,91,90,90,90,93,91,92,91,91,90,89,92,91,92,91,93,91,82,76,79,84,85,85,81,86,89,86,86,87,89,92,93,93,92,91,91,92,92,91,91,90,91,92,89,86,80,82,85,83,83,83,82,82,83,87,88,90,92,91,90,88,87,89,90,91,89,89,88,90,92,91,91,92,92,87,88,88
    여자,89,87,93,88,91,91,91,94,93,91,93,92,90,89,90,92,95,93,95,94,94,92,93,94,95,94,95,95,97,95,90,89,90,92,90,88,90,93,93,96,92,95,94,93,92,93,93,94,95,94,84,79,80,85,86,86,81,86,88,84,85,84,88,92,92,92,89,89,89,91,92,91,90,90,90,93,91,88,84,85,83,82,83,82,82,81,82,86,88,87,90,89,88,86,86,85,87,88,87,89,87,90,91,87,88,87,89,85,84,87
    40세미만,92,92,95,91,90,92,92,95,92,93,91,91,91,92,95,94,93,95,98,95,97,96,96,95,96,98,99,100,98,99,93,92,96,94,93,92,93,99,97,98,95,95,95,95,97,96,95,96,97,96,90,87,87,90,90,91,87,92,93,92,93,94,96,100,99,99,96,97,96,97,97,97,95,97,97,99,94,91,86,90,91,83,87,88,88,88,90,91,93,93,96,97,95,93,92,92,94,96,96,98,95,98,98,95,97,96,97,93,96,96
    40-50세,91,91,90,92,92,90,89,89,90,92,90,88,86,87,88,90,93,94,96,94,94,94,96,94,96,93,96,95,96,94,94,90,92,95,93,91,93,95,91,95,93,92,93,92,94,94,95,94,96,96,85,77,81,86,87,86,83,89,92,88,88,91,92,93,95,94,93,93,92,92,94,93,95,92,92,93,91,88,81,83,84,81,80,80,78,78,78,84,85,87,87,86,85,84,82,84,85,86,86,84,83,86,88,87,86,87,88,81,83,87
    50-60세,87,87,88,90,89,90,92,90,91,92,90,88,87,86,86,89,92,93,94,93,93,95,95,95,93,95,95,94,95,92,90,87,89,87,85,87,87,87,87,89,89,89,88,88,89,90,90,89,91,90,79,73,74,77,82,83,78,83,88,82,82,84,87,91,91,91,90,88,89,90,92,88,91,88,89,91,89,87,81,82,84,83,80,84,81,81,83,86,88,87,90,89,87,87,85,86,87,87,87,86,85,86,88,87,87,87,88,84,83,83
    60-70세,92,87,91,91,90,90,91,93,92,93,89,87,87,86,88,89,92,95,93,95,94,94,97,95,91,91,93,90,93,90,87,84,85,88,89,87,87,89,90,90,87,91,89,86,86,87,89,90,90,85,79,73,76,81,82,83,77,81,84,82,81,81,84,85,90,91,90,88,86,89,89,88,85,86,86,88,87,84,77,79,82,83,83,83,81,80,81,86,88,90,93,91,91,89,89,91,91,90,87,89,89,90,92,92,91,92,91,87,87,85
    70세이상,89,88,88,89,92,90,91,89,89,92,88,87,81,83,84,85,87,87,90,89,88,89,92,89,87,90,87,87,89,88,88,85,86,91,88,89,87,92,88,88,90,87,87,87,91,87,88,88,88,84,77,71,77,84,84,81,77,80,83,80,79,77,78,82,84,84,84,83,85,87,83,85,84,83,82,83,81,81,77,77,81,84,82,79,82,80,83,84,86,87,89,91,89,85,85,87,89,90,87,87,86,91,91,92,89,90,93,88,87,85
    봉급생활자,92,93,94,94,92,93,92,94,93,95,92,91,90,91,93,94,94,96,98,97,98,97,99,96,97,98,100,99,99,97,95,93,93,94,92,92,93,96,95,97,94,95,95,93,94,95,95,95,97,96,89,84,86,90,90,90,86,91,93,91,91,93,94,96,97,97,95,95,94,95,95,95,95,95,95,97,93,90,83,86,87,85,84,85,85,84,86,89,91,92,93,92,91,91,88,90,91,92,92,92,91,92,94,92,93,93,94,88,90,91
    자영업자,85,81,83,85,87,85,86,84,87,86,86,82,81,80,81,83,88,91,91,89,89,90,90,91,91,86,86,89,90,87,85,82,88,87,88,87,88,88,85,87,88,85,85,85,88,88,88,89,89,84,66,57,60,69,75,76,68,77,82,74,75,76,81,85,87,89,85,84,83,87,88,87,85,83,83,87,85,86,78,82,84,80,82,82,77,74,77,82,81,84,85,87,86,83,83,84,86,85,80,83,81,86,84,87,83,87,86,81,80,77
